year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt
1965,11,28,18,24072.75,11,11,675,255,389,65.49543840569898,-105.76419543129998,1011.5414579519525,1011.5414579519525,625,14.104739588693906,0.0,8.399461401533607,2.569325269633118,1,1,3,0,0,0,0,,,,,
1965,11,28,21,24072.875,10,10,675,254,386,65.45110265503061,-104.10011833501301,1011.0212752119784,1011.0212752119784,625,14.104739588693906,0.0,9.171571837019405,1.9200650666857106,1,1,0,0,0,0,0,-0.520182739974116,25.624998988859776,-1.6433035144332324,25.67763656607853,-3.9620755028633226
1965,11,29,0,24073.0,8,8,675,255,383,65.83358800665596,-102.67386000562314,1010.2278840934654,1010.2278840934654,625,14.104739588693906,0.0,9.079496681429472,1.4301809947533912,1,1,0,0,0,0,0,-0.7933911185129545,21.641530008776186,14.176810205532579,25.87156293547904,-6.024785515917081
1965,11,29,3,24073.125,9,9,675,254,381,65.70546747449936,-101.5186593448795,1008.3984774146321,1008.3984774146321,625,14.104739588693906,0.0,10.346460421638541,1.4791300153602789,1,1,0,0,0,0,0,-1.8294066788333294,17.616037728966685,-4.748784391604761,18.244882528159142,-13.905979461984145
1965,11,29,6,24073.25,9,9,675,243,378,63.33944955292167,-99.02312971289068,1007.2195675613957,1009.2195675613957,343750,330.7854642750767,2.0,11.80660321640451,1.6563186561827752,1,1,0,0,0,0,0,-1.1789098532364006,41.501019232473624,-87.69639640984732,97.02057792348604,-9.139425839318431
1965,11,29,9,24073.375,8,8,675,245,372,63.97963159467689,-96.23032461400565,1005.04579201344,1009.04579201344,488750,394.4286461102029,4.0,12.772164529794395,2.080802610874016,1,1,0,0,0,0,0,-2.173775547955738,45.40754159695413,23.7283317240451,51.2335686858279,-16.759091260420377
1965,11,29,12,24073.5,12,12,675,246,369,64.27493703489893,-94.78452968816502,1005.3642763357217,1007.3642763357217,326875,322.56401542380166,2.0,11.210796114055393,2.153577077227019,1,2,0,0,0,1,0,0.31848432228172896,23.259695620338263,10.945488921076324,25.70636434955724,2.449278904960601
1965,11,29,15,24073.625,10,10,675,239,369,62.66726530898717,-94.50777079340136,1003.4727718338465,1009.4727718338465,792500,502.25549753153933,6.0,12.21581172927147,3.627056048060039,1,1,0,0,0,0,0,-1.8915045018751697,4.710058967846116,-59.58831321042992,59.77417273994584,-14.751677975913532
1965,11,29,18,24073.75,11,11,675,247,367,64.53873504188051,-93.81407483429035,1001.427566548989,1007.427566548989,651875,455.51976582367814,6.0,13.21245025840876,3.2739165258780853,1,1,0,0,0,0,0,-2.045205284857511,11.053478622882654,69.36597988886268,70.24114574527259,-15.693844858891117
1965,11,29,21,24073.875,11,11,675,246,365,64.3355901838838,-92.77427731130079,999.8843353893095,1007.8843353893095,883125,530.1956414721458,8.0,13.907312215760562,3.2067045648429486,1,1,0,0,0,0,0,-1.543231159679417,16.69149047731021,-7.529559194388387,18.311201927124724,-11.862055720854356
1965,11,30,0,24074.0,13,13,675,239,363,62.74183777941986,-91.66372500429159,998.4776532848568,1006.4776532848568,896875,534.3071955074976,8.0,13.19056181079951,6.6846425378826835,1,1,0,0,0,0,0,-1.406682104452775,18.852257846990923,-59.072393901318584,62.00770393396269,-10.963224722316733
1965,11,30,3,24074.125,10,11,675,238,363,62.51107758390011,-91.65003939557788,997.4944708763936,1005.4669436898586,900000,535.2372348458314,7.972472813464992,13.070288066242226,7.004123579737934,2,0,0,0,0,1,0,-0.9831824084631807,0.2341381051579469,-8.553121004434315,8.55632512056329,-7.678600876812754
1965,11,30,6,24074.25,9,9,675,230,361,60.66942966240893,-90.66362800001326,996.9810282608712,1004.9810282608712,1026875,571.7206174128935,8.0,12.300565808403691,5.941677056816116,1,1,0,0,0,0,0,-0.5134426155223628,17.909306760133166,-68.26063517843853,70.57094007870685,-4.08029593350392
1965,11,30,9,24074.375,9,9,675,224,358,59.2755981928567,-89.36575528557388,995.8895010075953,1003.8895010075953,1024375,571.0242461222821,8.0,12.409912578563393,4.939434169953092,1,1,0,0,0,0,0,-1.0915272532759992,24.577209757133645,-51.662329337245986,57.21044932524313,-8.79713456878458
1965,11,30,12,24074.5,9,9,675,224,357,59.27216349006242,-88.9430022232151,994.9652924254685,1002.9652924254685,1000625,564.365865252901,8.0,12.263748272046866,5.703872075246036,1,1,0,0,0,0,0,-0.9242085821267392,8.006397931797824,-0.12730717508541584,8.007410003186093,-7.448899640132836
1965,11,30,15,24074.625,10,10,675,221,354,58.55327418418935,-87.72591123127297,994.6901495746232,1002.6901495746232,1108125,593.9083621463947,8.0,12.11779005641236,4.137388607733592,1,1,0,0,0,0,0,-0.2751428508452955,23.53457046452134,-26.645614544037855,35.55087595796989,-2.234425438871151
1965,11,30,18,24074.75,11,11,675,218,350,57.80423293426005,-86.15905097466303,994.1167400119256,1002.1167400119256,1064375,582.066220551298,8.0,12.552986515254657,4.068226307230798,1,1,0,0,0,0,0,-0.5734095626976341,30.942808016967586,-27.763195613211924,41.572255154518416,-4.694570149882549
1965,11,30,21,24074.875,10,10,675,213,343,56.49181111008261,-83.57397194450428,993.9419091451772,1001.9419091451772,1166875,609.4488070713658,8.0,13.43164424749183,3.02964397908574,1,1,0,0,0,0,0,-0.17483086674837978,52.89263365610947,-48.64488282204328,71.86066601312379,-1.4526909451273733
1965,12,1,0,24075.0,7,7,4,211,337,55.84208449628262,-81.3843518158359,994.4388524391965,1000.4388524391965,819375,510.700658891139,6.0,13.2207135736432,1.827668346388091,1,1,0,0,0,0,0,0.4969432940192928,45.56646961310244,-24.08210105350247,51.538827539563734,4.160667542320368
1965,12,1,3,24075.125,5,5,4,209,331,55.14144110838849,-79.27694358973687,993.4158786201738,1001.4158786201738,973750,556.7353515553564,8.0,14.302730370699226,2.72839162807868,1,1,0,0,0,0,0,-1.0229738190227362,44.642864101398914,-25.96933004029435,51.64679484651207,-8.637178440656788
1965,12,1,6,24075.25,6,6,4,205,324,53.87960875617308,-77.05956359809291,993.9704239111525,1001.9704239111525,930625,544.2675241366053,8.0,15.254263110856188,2.5253581731220764,1,1,0,0,0,0,0,0.5545452909787127,48.446018358513946,-46.76978528077452,67.33817275515592,4.756247747251159
1965,12,1,9,24075.375,6,6,4,201,315,52.43479552752878,-74.31753657734667,993.7940289275721,1001.7940289275721,788750,501.0657868259067,8.0,17.08269344546335,3.079393493256939,1,1,0,0,0,0,0,-0.17639498358039418,61.95835559713129,-53.55196699139691,81.89414507123348,-1.5417710482841198
1965,12,1,12,24075.5,6,6,4,203,310,52.55025627989287,-72.44815317856475,994.7110630003906,1002.7110630003906,770625,495.27523261352746,8.0,16.31947780335413,6.172892940481179,1,1,0,0,0,0,0,0.9170340728184965,42.13084692896337,4.279549963150379,42.34764232916447,8.002900167439385
