year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt
1959,1,28,12,21576.5,19,19,820,341,584,37.66541276460023,-175.28916546437952,987.1141967208205,991.1141967208205,47500,122.96226898414837,4.0,14.235260599416,22.538975271288802,1,1,3,0,0,0,0,,,,,
1959,1,28,15,21576.625,15,15,820,329,579,38.57995549282086,-172.08928054122558,985.3817735296869,989.3817735296869,26875,92.49096275414898,4.0,15.103356439854151,30.038464233672997,1,1,0,0,0,0,0,-1.7324231911335664,92.71237961262061,33.89750385926916,98.71487274632854,-19.247051943935865
1959,1,28,18,21576.75,17,17,820,317,572,39.80145059918337,-168.6900675259798,984.6026642399271,990.6026642399271,58125,136.02118266811544,6.0,15.4164392009046,34.170293318049225,1,1,0,0,0,0,0,-0.7791092897597991,96.78952370370307,45.27468624955554,106.85508464170243,-8.43240382669214
1959,1,28,21,21576.875,15,15,820,308,564,41.2447582595227,-165.86491399727007,984.9962177066877,990.9962177066877,90000,169.2568750643269,6.0,15.329360896766087,25.329325933994255,1,1,0,0,0,0,0,0.39355346676064074,78.7311877678513,53.496163138987164,95.18634039571953,4.135770361229884
1959,1,29,0,21577.0,12,12,820,302,557,42.52267920055201,-163.7676493388438,984.3692441073836,990.3692441073836,207500,257.00058634784585,6.0,15.652206805457206,22.476468445907596,1,1,0,0,0,0,0,-0.6269735993041832,57.29004709178253,47.366108431766826,74.3350369862594,-6.426862363956031
1959,1,29,3,21577.125,16,16,820,296,547,44.4180827237304,-161.29047286609267,982.2967858310419,990.2967858310419,133125,205.8518972422094,8.0,17.028868935757654,31.252961534911368,1,1,0,0,0,0,0,-2.0724582763416404,65.57759033454248,70.25308524055283,96.103674955235,-20.515276453126045
1959,1,29,6,21577.25,16,16,820,292,539,45.923918562135604,-159.3915021436999,981.3368895580821,989.3368895580821,97500,176.1681409986482,8.0,19.214852319648053,30.67313440849721,1,1,0,0,0,0,0,-0.9598962729597406,48.95977178174304,55.81376853007157,74.24443420518988,-9.256961875462128
1959,1,29,9,21577.375,19,19,820,290,532,47.326963800459396,-158.05556589930816,978.4432209582156,990.4432209582156,182500,241.0218957450584,12.0,22.17974778506316,33.638898664082156,1,1,0,0,0,0,0,-2.8936685998665053,33.56251520187966,52.003837451470446,61.89379238950675,-27.26741880536651
1959,1,29,12,21577.5,15,15,820,289,527,48.34922491507317,-157.17399239610793,975.0699268685046,989.0699268685046,195000,249.13937425834396,14.0,25.918339319106533,39.93073053482178,1,1,0,0,0,0,0,-3.3732940897111257,21.71564689285119,37.89008321702106,43.671818443565854,-31.277532178934138
1959,1,29,15,21577.625,17,17,820,287,521,49.47870928872079,-155.8239057249236,973.691761329639,989.691761329639,239375,276.03519522924046,16.0,27.891484705009727,30.079898078319385,1,1,0,0,0,0,0,-1.378165538865578,32.51268671010681,41.864310691307544,53.00655909194525,-12.560715343613397
