year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,DpDt,Dp,u,v,uv
1964,12,2,0,23711.0,15,15,61.0,304,435,68.8982261196412,-143.6804184250713,,,0,0.0,,8.767589103596544,,0,0,0,0,0,0,0,,,,,
1964,12,2,3,23711.125,16,16,66.0,303,422,71.04906135952113,-137.8864185438646,998.3537797704261,998.3537797704261,625,14.104739588693906,0.0,9.529732091281213,3.127636214613885,1,1,3,0,0,3,0,,,69.71673452903622,79.72065557432728,105.9047024385255
1964,12,2,6,23711.25,13,13,66.0,299,420,70.75201610664362,-135.0,996.7071911544554,998.7071911544554,235000,273.5010479928565,2.0,11.766167873863928,2.351818915026306,1,1,0,0,0,0,3,-12.083352469008055,-1.6465886159706862,35.265086204105046,-11.009975034609624,36.943820257868396
1964,12,2,9,23711.375,11,11,66.0,297,415,71.20063183517078,-131.60507645788175,995.7332149650019,999.7332149650019,415625,363.7272968105886,4.0,14.423326760130808,1.703939200319728,1,1,0,0,0,0,0,-7.128172951125699,-0.9739761894533876,40.544951751675164,16.62793100839096,43.82215423921417
1964,12,2,12,23711.5,12,12,66.0,296,411,71.61531365218765,-129.04286888529177,994.863576309494,1000.863576309494,545000,416.50796867546956,6.0,16.219106417004188,2.283057756186681,1,1,0,0,0,0,0,-6.349088653043602,-0.8696386555080244,29.950275161187903,15.370171408007513,33.663944381821935
1964,12,2,15,23711.625,11,11,66.0,298,407,72.53412054208248,-127.68098062440957,994.3383186300472,1004.3383186300472,1222500,623.8059280414735,10.0,17.317998848496217,2.583371940234356,1,1,0,0,0,0,0,-3.8149782557341574,-0.5252576794468041,15.150137546516545,34.05555490745691,37.27341529472692
1964,12,2,18,23711.75,10,10,66.0,307,397,75.51774821427271,-125.53767779197437,994.0064080929703,1004.0064080929703,1118750,596.7488459713314,10.0,19.37836291978024,3.0818793707237635,1,1,0,0,0,0,0,-2.375009209797676,-0.33191053707676477,19.865643663538723,110.58808671462315,112.35821608306046
1964,12,2,21,23711.875,11,11,66.0,309,393,76.40146204564684,-123.55895613123258,992.9271774505407,1004.9271774505407,1225625,624.6027171362676,12.0,21.906332729439388,4.250311387786715,1,1,0,0,0,0,0,-7.692780947522436,-1.0792306424296112,17.242992627416005,32.754831551475554,37.01620975619548
1964,12,3,0,23712.0,9,9,66.0,310,390,76.95590721281215,-121.63978155523553,989.6474194744432,1005.6474194744432,1383125,663.522690891544,16.0,25.825839825865767,6.149430989827888,1,1,0,0,0,0,0,-23.32468452364482,-3.2797579760976077,16.05432621337463,20.55049656379217,26.078042472238625
1964,12,3,3,23712.125,8,8,66.0,315,382,78.81981750563455,-116.82198120158151,989.4280218124785,1005.4280218124785,1239375,628.0965810996232,16.0,27.060032700820955,2.9805413260896603,1,1,0,0,0,0,0,-1.5494363619608558,-0.21939766196461277,34.614342351658564,69.0857894274749,77.27223949941677
