year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt,precip,precipArea
2000,9,1,18,36768.75,15,15,41,463,451,58.66109641522977,131.4785466230778,1000.0387655696865,1004.0387655696865,198125,251.12774876576967,4.0,8.348212984383927,6.517536792405008,1,1,3,0,0,0,0,,,,,,1.731836276628322,474.0
2000,9,1,21,36768.875,17,17,41,456,453,59.541112405281325,134.09540496626732,999.219253421416,1001.219253421416,70625,149.9354384784672,2.0,9.482544741437396,8.233418125645258,1,1,0,0,0,0,0,-0.8195121482704417,49.16491418815865,32.61777115327414,59.00091340086496,-6.5867656871531395,1.7191736375025135,587.0
2000,9,2,0,36769.0,18,18,41,440,451,62.43707804103067,138.6592815186608,996.9803160829044,998.9803160829044,18125,75.95634724683123,2.0,10.64121795988244,19.98103241708217,1,1,0,0,0,0,0,-2.238937338511605,78.25785255164054,107.33889547743654,132.83798390637506,-17.497751567404837,1.9051842472726443,786.0
2000,9,2,3,36769.125,20,20,41,434,449,63.68739575243323,140.22592740896678,992.7633651120318,994.7633651120318,41250,114.58744610593851,2.0,13.525672489748649,24.685034228028236,1,1,0,0,0,0,3,-4.216950970872713,25.73892812753489,46.34299540060049,53.01099549956108,-32.59287576419477,1.8935590443477255,828.0
2000,9,2,6,36769.25,19,19,41,427,448,64.87106421387105,142.66680426181418,990.0762485806565,996.0762485806565,330000,324.1022407214287,6.0,15.864085119380814,16.607511101513374,1,1,0,0,0,0,0,-2.6871165313752137,38.41675259016556,43.87264258035185,58.315140800286976,-20.563094802035003,1.9328483538562269,849.0
2000,9,2,9,36769.375,16,16,41,420,449,65.62252688385695,145.94218540900937,988.6450365753484,996.6450365753484,396875,355.428243221036,8.0,17.67233214613695,18.39597447123255,1,1,0,0,0,0,0,-1.431212005308189,50.10253898481139,27.85294548840217,57.3240873028472,-10.886283224340715,2.237764976540739,920.0
2000,9,2,12,36769.5,15,15,41,411,453,65.91720825354334,151.1539328491009,988.4416899221169,996.4416899221169,333750,325.9385287348523,8.0,18.533397847891813,8.982310462672977,1,1,0,0,0,0,0,-0.20334665323141962,78.80292316999179,10.92235776193187,79.55626059095074,-1.54314747360192,2.419377597506197,913.0
2000,9,2,15,36769.625,16,16,41,407,452,66.54995324242478,152.8188889145228,987.934004356331,995.934004356331,306250,312.22172032673495,8.0,18.77010320849598,12.924980415124153,1,1,0,0,0,0,0,-0.5076855657859415,24.557348162909307,23.452677541128065,33.95720001181601,-3.8340097041067804,2.120320901752745,679.0
2000,9,2,18,36769.75,13,13,41,403,453,66.74669769916656,155.05023687139666,988.0626923562727,996.0626923562727,324375,321.32813342573525,8.0,18.511330039958878,16.234277967431552,1,1,0,0,0,0,0,0.1286879999417579,32.649872196596235,7.292328478375543,33.45433019940161,0.9704040337355131,1.8783830456237085,726.0
2000,9,2,21,36769.875,13,13,41,396,450,68.0132346742188,158.0350444891853,988.0263698476878,996.0263698476878,343750,330.7854642750767,8.0,17.19523175591692,10.996504515893758,1,1,0,0,0,0,0,-0.03632250858499901,41.415687552119685,46.94416201118474,62.602024906125536,-0.2713876472791929,1.8869882997316965,871.0
2000,9,3,0,36770.0,12,12,41,392,449,68.55300595822904,160.04259817781698,988.3271788524382,996.3271788524382,405000,359.0480523612894,8.0,16.53287109220197,10.460364072014563,1,1,0,0,0,0,0,0.3008090047504811,27.206063902120736,20.006609443452195,33.77031735813431,2.2391103600492026,1.7250467847654674,743.0
2000,9,3,3,36770.125,12,12,41,388,447,69.28106303243446,161.95883040316482,987.8912805556497,993.8912805556497,248125,281.03494535262524,6.0,16.020962561514697,9.15898711309368,1,1,0,0,0,0,0,-0.43589829678850944,25.126519694055197,26.985417653108627,36.872140673528165,-3.228808210819383,1.50738629117479,762.0
2000,9,3,6,36770.25,11,11,41,384,446,69.76424073196986,164.18591581611008,987.3970130639296,995.3970130639296,358125,337.6310530587642,8.0,16.42957832156153,9.167050098633773,1,1,0,0,0,0,0,-0.49426749172009293,28.550046484028897,17.908969618708316,33.70217125118244,-3.649651878385024,2.2571155203193345,1349.0
2000,9,3,9,36770.375,9,9,41,383,441,70.92006459294215,163.9154243416267,987.9435486632507,995.9435486632507,379375,347.5036878523386,8.0,15.751657390640595,11.203895659537885,1,1,0,0,0,0,0,0.5465355993210688,-3.277287495546318,42.840583144948006,42.9657558705496,4.0066195872037556,2.276474336671938,1522.0
2000,9,3,12,36770.5,13,13,41,382,440,71.20063183517078,164.3841571259513,987.613129543507,995.613129543507,357500,337.33630743029306,8.0,16.275025209953775,13.21892679236182,1,1,0,0,0,0,0,-0.3304191197437467,5.598709994241416,10.39921797282652,11.810558329138248,-2.418215822312828,2.06791870308146,1582.0
2000,9,3,15,36770.625,13,13,41,381,438,71.69877708508417,164.6831401791233,986.9607396990972,1006.9607396990972,6570000,1446.1313744703505,20.0,16.68872402566717,11.201387921189962,1,2,0,0,0,0,2,-0.6523898444097722,3.4798224656168695,18.463741507484634,18.788797589186565,-4.760691007569509,3.172778239526304,3582.0
