year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt,precip,precipArea
2009,10,23,3,40107.125,0,0,387,403,153,41.20844344730852,11.895649592920067,995.7197869973387,1007.7197869973387,1046250,577.0890038978312,12.0,16.89612116209137,14.86078551345614,1,1,3,0,0,0,0,,,,,,4.894756778688048,1227.0
2009,10,23,6,40107.25,0,0,387,401,156,42.03338157647876,11.52634609834003,993.9496819848375,1009.9496819848375,1878750,773.3205665620155,16.0,19.089981182262896,23.38068338554214,1,1,0,0,0,0,0,-1.7701050125011535,-10.166987635120107,30.5763115864615,32.222328714806835,-18.31588482642084,5.7312005827752195,1980.0
2009,10,23,9,40107.375,0,0,387,400,156,42.082024931111775,11.2557776890948,995.929721644982,1011.929721644982,2248750,846.0492636695568,16.0,18.313733746653615,17.197542427239533,1,1,0,0,0,0,0,1.9800396601445391,-7.443093266692538,1.802964750054546,7.658349643795525,20.468880732512545,5.703323826942625,1970.0
2009,10,23,12,40107.5,0,0,387,401,153,41.308063837997956,11.363280484221017,996.2135065134539,1012.2135065134539,2708750,928.5590472341233,16.0,17.80309721172384,14.054400829116931,1,1,0,0,0,0,0,0.2837848684718483,2.9931080610077996,-28.68684899151127,28.84257271684759,2.978483892382666,5.616871219746636,1966.0
2009,10,23,15,40107.625,0,0,387,405,150,40.37858413927736,12.253419035311547,996.8277162299522,1010.8277162299522,2081875,814.0524518106184,14.0,16.85563637393756,11.89501303564015,1,1,0,0,0,0,0,0.6142097164982988,25.133290473667724,-34.451142305614596,42.644618607691456,6.568599044507799,5.9098618341386935,2053.0
2009,10,23,18,40107.75,0,0,387,411,149,39.80145059918337,13.747682944282808,997.8434153090113,1011.8434153090113,2368125,868.2151802514106,14.0,16.361001433053872,9.617185643444317,1,1,0,0,0,0,0,1.0156990790591225,42.549880013541596,-21.391440551621784,47.62442669513572,10.993046692674358,4.933517760010211,1583.0
2009,10,23,21,40107.875,0,0,387,416,149,39.492392398393825,15.024553430468648,998.0278413027347,1012.0278413027347,2406875,875.289727638004,14.0,16.467331661227753,13.671383426882095,1,1,0,0,0,0,0,0.18442599372341648,36.52250150813773,-11.455234655230708,38.27682742101703,2.0091029337140407,4.3078543037553105,1341.0
2009,10,24,0,40108.0,0,0,387,418,151,39.8404658145502,15.672820509543197,997.9430210715722,1011.9430210715722,2845625,951.7303031173009,14.0,16.11240281977956,11.100769254380793,1,1,0,0,0,0,0,-0.0848202311625937,18.449411450637008,12.901332658809437,22.512777866095487,-0.9172712530996217,3.0892382548116304,1316.0
2009,10,24,3,40108.125,0,0,387,424,152,39.65590941218513,17.267510827659905,997.2632655802337,1009.2632655802337,1492500,689.2586634416049,12.0,15.63746640646484,12.870529060792467,1,1,0,0,0,0,0,-0.6797554913384374,45.505463130783674,-6.8405785409223885,46.01674357798083,-7.379606050424615,2.485376062108633,1213.0
2009,10,24,6,40108.25,0,0,387,424,155,40.36701711290845,17.505452828786993,998.4068210894974,1010.4068210894974,1969375,791.7521910946649,12.0,15.148546496175719,7.753328763137979,1,1,0,0,0,0,0,1.1435555092636787,6.7195331210951865,26.357189539436813,27.200249369873294,12.23253422570907,2.069221545732196,1082.0
2009,10,24,9,40108.375,0,0,387,423,156,40.6776936323186,17.32997435943972,1000.1674150991182,1012.1674150991182,2825000,948.2749751360144,12.0,14.095507173458575,6.10878417291955,1,1,0,0,0,0,0,1.760594009620836,-4.932635494597549,11.5152175953329,12.527215540192003,18.713858944082496,1.9297871793897856,916.0
2009,10,24,12,40108.5,0,0,387,422,157,40.98746768496011,17.152421740211835,1000.1834016763354,1010.1834016763354,2457500,884.4470279766142,10.0,13.227233395755357,6.814680919624225,1,1,0,0,0,0,0,0.015986577217117885,-4.967674683869097,11.48176768661989,12.510346956590077,0.1688661076332905,1.5650761941807056,653.0
2009,10,24,15,40108.625,0,0,387,425,150,39.106255441602634,17.36181044671932,1001.9723498780763,1007.9723498780763,1269375,635.6529019634453,6.0,10.407608541985676,3.2853963338207537,1,1,0,0,0,0,0,1.7889482017410046,6.0223505397347985,-69.72708580099344,69.98667873476026,19.649607264213294,1.2299263895084493,634.0
2009,10,24,18,40108.75,0,1,387,425,149,38.86809712733871,17.284255760500837,1003.4874323391662,1009.4233947372198,1790000,754.834217738561,5.935962398053671,9.608229214703082,2.39307601825858,2,0,0,0,0,1,0,1.5150824610897689,-2.2381133027856337,-8.827332094789469,9.106642798957596,16.72717710155039,0.899434617460944,447.0
2009,10,24,21,40108.875,0,0,387,426,140,36.63641747135678,16.854776350121995,1003.5414308841678,1007.5414308841678,629375,447.58941521993484,4.0,9.78060820024243,2.5557048417090846,1,1,0,0,0,0,0,0.05399854500166839,-12.77371964622773,-82.71715188035508,83.69764111848167,0.6269330199400458,0.7063325531884893,390.0
2009,10,25,0,40109.0,0,0,387,428,139,36.24719098017348,17.257803936939943,1003.2940804690616,1009.2940804690616,7908125,1586.5794555197006,6.0,9.315092886314611,1.716273047068098,1,1,0,0,0,0,0,-0.2473504151061934,12.047261317281468,-14.426670378415391,18.795353773055577,-2.8983266951339335,3.1045332006759985,1138.0
