year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,DpDt,Dp,u,v,uv
1967,4,12,21,24572.875,11,11,378.0,237,416,59.41671856874475,-114.7603086303817,,,0,0.0,,12.959802253208236,,0,0,0,0,0,0,0,,,,,
1967,4,13,0,24573.0,14,14,414.0,250,409,62.83003655066456,-114.32557523912612,999.0587427284845,999.0587427284845,625,14.104739588693906,0.0,13.820339340994083,5.498237385086686,1,1,3,0,0,3,0,,,7.357865663321927,126.51454753804228,126.72832724326102
1967,4,13,3,24573.125,16,16,414.0,252,408,63.34531203030961,-114.28312494454471,1000.0454624089977,1002.0454624089977,60625,138.91557454041038,2.0,14.001119091143435,8.568352227704526,1,1,0,0,0,0,3,7.649090475426096,0.9867196805131971,0.7058552261722914,19.098673053623695,19.111712220769927
1967,4,13,6,24573.25,14,14,414.0,253,406,63.7428278652612,-113.58703052512824,1000.6618375479243,1002.6618375479243,51250,127.72384924875728,2.0,14.737924132263963,8.866854388979919,1,1,0,0,0,0,0,4.761696607973381,0.6163751389265235,11.414207871908,14.733914702497552,18.63792863500663
1967,4,13,9,24573.375,12,12,414.0,255,405,64.25676693113375,-113.5286316760854,1001.0502088377064,1003.0502088377064,40000,112.83791670955125,2.0,14.831567930968747,11.502286632195245,1,1,0,0,0,0,0,2.9871957687212314,0.3883712897820806,0.9401490140076059,19.04913890982388,19.07232480255896
1967,4,13,12,24573.5,11,11,414.0,256,405,64.46746371150232,-113.73094016077148,1002.2000948134394,1004.2000948134394,1951250,788.1003523766003,2.0,13.519799114870334,10.421001119128123,1,1,0,0,0,0,0,8.8288647817105,1.1498859757330502,-3.2320543515085247,7.809471012442706,8.451864458525591
1967,4,13,15,24573.625,9,9,414.0,250,395,63.995622713340175,-107.9627415515166,1003.2109147072172,1003.2109147072172,625,14.104739588693906,0.0,14.188546884758004,4.9109648552643925,1,1,0,0,0,0,0,7.792026063185704,1.010819893777807,93.705637329589,-17.48877505951176,95.32367869751283
1967,4,13,18,24573.75,11,11,414.0,252,394,64.50409443536742,-107.79300616691746,1004.0188475580842,1006.0188475580842,146250,215.76102719068473,2.0,13.801629038658293,6.141502259895351,1,1,0,0,0,0,0,6.2014441312737985,0.8079328508670733,2.708041121471736,18.84649194388374,19.040056336745874
1967,4,13,21,24573.875,12,12,414.0,253,393,64.7927448192328,-107.46117665042448,1004.1890752516468,1006.1890752516468,58750,136.75052399642826,2.0,14.074575273668385,9.304884470355391,1,1,0,0,0,0,0,1.303500310881776,0.1702276935626287,5.238170349257988,10.698819419944453,11.912311513238146
1967,4,14,0,24574.0,10,10,414.0,254,390,65.21171486271861,-106.1245566037719,1004.3576563570203,1008.3576563570203,162500,227.4320920733615,4.0,14.675965048700077,9.22708931297755,1,1,0,0,0,0,0,1.2864979333488729,0.16858110537345056,20.77082277281559,15.529114417224681,25.934156497618545
1967,4,14,3,24574.125,10,10,414.0,255,388,65.55678742135443,-105.25511870305779,1004.6270720681562,1010.6270720681562,235625,273.864504695398,6.0,15.210477159421695,10.917445466805583,1,1,0,0,0,0,0,2.0503345147682395,0.2694157111358072,13.334601214459731,12.790105948186493,18.476969440752626
1967,4,14,6,24574.25,9,9,414.0,257,386,66.11771625927538,-104.495649953041,1004.5443846081831,1010.5443846081831,208125,257.3873444091637,6.0,15.549155566085483,11.850691775559826,1,1,0,0,0,0,0,-0.6265185573003638,-0.082687459972949,11.396582291604267,20.790813661812766,23.709492205644732
1967,4,14,9,24574.375,9,9,414.0,258,383,66.50375619799382,-103.0358367700663,1005.0671141400779,1013.0671141400779,345000,331.38634663094945,8.0,16.020660618830675,10.724927518659461,1,1,0,0,0,0,0,3.9490032427362305,0.522729531894729,21.57174687458438,14.308560889222223,25.88581035899245
1967,4,14,12,24574.5,10,10,414.0,260,381,67.050403344949,-102.19303447550696,1005.3875132822266,1013.3875132822266,391250,352.900471761385,8.0,15.37947795858386,9.912809410164046,1,1,0,0,0,0,0,2.410593093549426,0.32039914214867166,12.180439568783115,20.26146313537945,23.640854393932507
1967,4,14,15,24574.625,12,12,414.0,262,379,67.59120995593749,-101.30993247402021,1005.1002754325888,1013.1002754325888,341250,329.5804130409127,8.0,15.421315725893438,9.276371032121752,1,1,0,0,0,0,0,-2.1525894800831558,-0.2872378496377496,12.477791279169752,20.044983812585624,23.611366992475137
1967,4,14,18,24574.75,11,11,414.0,264,377,68.12582124611649,-100.38402068762014,1005.0298213512391,1013.0298213512391,348125,332.88380724771235,8.0,15.554989196633853,9.16484747416427,1,1,0,0,0,0,0,-0.5259891780465106,-0.07045408134974424,12.786058201893058,19.815354398269182,23.582441652025825
1967,4,14,21,24574.875,11,11,414.0,266,376,68.61537936717194,-100.00797980144135,1005.2489187897369,1013.2489187897369,341250,329.5804130409127,8.0,15.70434933829037,9.982668573047558,1,1,0,0,0,0,0,1.6301836571527146,0.21909743849784719,5.082141620975651,18.14545978633629,18.843722411275337
1967,4,15,0,24575.0,8,8,414.0,267,375,68.87877151363645,-99.51253760227898,1006.5296022277984,1014.5296022277984,371250,343.7623383178156,8.0,14.302251455268818,9.44542039784188,1,1,0,0,0,0,0,9.51183967066686,1.2806834380613872,6.617149724190677,9.762623468291611,11.793874997471988
