year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt
1975,8,25,9,27629.375,11,11,538,63,442,15.776708320899033,-105.54902437004853,1004.7157795461493,1010.7157795461493,237500,274.9519921161698,6.0,7.728293275404774,24.141695099329446,1,1,3,0,0,0,0,,,,,
1975,8,25,12,27629.5,10,10,538,64,443,15.972757003811713,-105.7788016189649,1002.8176584892043,1008.8176584892043,152500,220.32307560268868,6.0,9.109971513907714,18.826303442798597,1,1,0,0,0,0,0,-1.8981210569449467,-8.187880915463525,7.266539638412517,10.94732808508232,-47.78892296947381
1975,8,25,15,27629.625,8,8,538,66,445,16.359883711204773,-106.24146222304228,1004.5230815057167,1010.5230815057167,204375,255.05799926450496,6.0,8.252840857018274,12.5943516249441,1,1,0,0,0,0,0,1.705423016512359,-16.454181923111882,14.348841943573687,21.83184297947659,41.94812825216653
1975,8,25,18,27629.75,10,10,538,68,447,16.740365511679546,-106.70826009222182,1005.1660050117796,1011.1660050117796,211875,259.6957972998228,6.0,7.921849534087219,12.517155353158014,1,1,0,0,0,0,0,0.6429235060629435,-16.568592020776432,14.102548631127394,21.757759982228173,15.464443286631116
1975,8,25,21,27629.875,9,9,538,69,450,16.76255219214947,-107.30347450570338,1002.9788702154337,1008.9788702154337,150625,218.96444142013897,6.0,8.433400043037533,17.369206115540727,1,1,0,0,0,0,0,-2.1871347963459264,-21.124162373192092,0.8223487691132411,21.140163042584287,-52.54021100011722
1975,8,26,0,27630.0,10,10,538,69,451,16.678441021397116,-107.48308160424924,1001.6258700125175,1007.6258700125175,158750,224.7925586661551,6.0,9.126313531918974,21.633444310642155,1,1,0,0,0,0,0,-1.3530002029163006,-6.377070613263385,-3.1175784872655266,7.098332566934875,-32.66152363506029
1975,8,26,3,27630.125,9,9,538,69,452,16.593442217124583,-107.66233472898298,1001.9751682672144,1007.9751682672144,94375,173.32194179790176,6.0,10.027181220756411,27.695053650676783,1,1,0,0,0,0,0,0.3492982546969142,-6.3673243365801016,-3.150478601986495,7.104106884667488,8.474054469327871
1975,8,26,6,27630.25,9,9,538,69,452,16.593442217124583,-107.66233472898298,1003.0453533379437,1009.0453533379437,74375,153.8645436249672,6.0,10.033622744366243,28.778686290019685,1,1,0,0,0,0,0,1.0701850707293488,0.0,0.0,0.0,25.96293127628421
1975,8,26,9,27630.375,9,9,538,69,453,16.507556746333062,-107.84123142670943,1002.1151155607977,1010.1151155607977,1227500,625.0803030736156,8.0,9.94330664571742,22.19053448167513,1,1,0,0,0,0,0,-0.9302377771459578,-6.3574949079718355,-3.1833428748321433,7.109951713171644,-22.6819016009609
1975,8,26,12,27630.5,10,10,538,68,453,16.239057544866682,-107.78388844269253,1003.1869731773498,1009.1869731773498,206250,256.22531886097215,6.0,8.660991322599669,17.53445185404431,1,1,0,0,0,0,0,1.0718576165521518,2.0406191529474893,-9.951916337058904,10.158974618887283,26.555203774836126
