year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt,precip,precipArea
2003,3,20,3,37698.125,1,1,594,451,243,56.32518547717949,38.14636482834978,997.6821404967113,997.6821404967113,625,14.104739588693906,0.0,11.218405406217764,2.5237430533891168,1,1,3,0,0,0,0,,,,,,0.8024008774001907,884.0
2003,3,20,6,37698.25,0,0,594,452,240,55.62530044807936,37.74196989234876,995.852351971716,997.852351971716,146250,215.76102719068473,2.0,14.46557373581629,3.5816001828137085,1,1,0,0,0,0,0,-1.8297885249953834,-8.46275337288906,-25.941221490137817,27.28672144195292,-15.359482314235983,1.16076086944673,1477.0
2003,3,20,9,37698.375,0,0,594,453,237,54.92230760001469,37.35323798643283,994.4441344350421,1000.4441344350421,461250,383.1715477462718,6.0,16.49502214516223,3.57447592786586,1,1,0,0,0,0,0,-1.4082175366739103,-8.280269475029687,-26.056412724066845,27.34043720619736,-11.921716607308108,1.2030034990965286,1341.0
2003,3,20,12,37698.5,1,1,594,454,235,54.40446559706385,37.199812115818304,994.0990750377052,1002.0990750377052,719375,478.5229089327537,8.0,17.41144902313569,3.830618947667899,1,1,0,0,0,0,0,-0.3450593973368814,-3.3100128663531536,-19.19380117719688,19.47711962291108,-2.939990176883537,1.2112940149080245,1017.0
2003,3,20,15,37698.625,1,1,594,456,235,54.117227324124585,37.77927809504317,992.8529825527384,1002.8529825527384,882500,530.0079948049796,10.0,18.887171186260822,4.500074799047725,1,1,0,0,0,0,0,-1.2460924849667936,12.588775452228086,-10.646479562996593,16.487109949045788,-10.655382790214333,1.2948583485366556,1124.0
2003,3,20,18,37698.75,2,2,594,457,231,53.22303183585553,37.189585596499285,992.5660893333737,1004.5660893333737,1150625,605.1903112164174,12.0,20.96001104349651,4.138531773083887,1,1,0,0,0,0,0,-0.2868932193647197,-13.085748274313596,-33.143333907991156,35.63309403399174,-2.481552756657458,1.2878583187743915,1400.0
2003,3,20,21,37698.875,1,1,594,457,230,53.034134362206395,36.97593536471781,991.7932061660287,1003.7932061660287,993125,562.2468369997978,12.0,22.97773928297654,6.7669257107523295,1,1,0,0,0,0,0,-0.7728831673449895,-4.761967049727935,-7.001480241919589,8.467411396683461,-6.701792881089492,1.1723028657148464,1556.0
2003,3,21,0,37699.0,2,2,594,457,227,52.46363260131155,36.34745820888527,991.6341483864016,1003.6341483864016,895625,533.934726172926,12.0,24.347431811783892,16.20309167179934,1,1,0,0,0,0,0,-0.15905777962703724,-14.192469984637382,-21.145633817764182,25.466920383505446,-1.3896983445361188,1.0897632202025125,1514.0
2003,3,21,3,37699.125,2,2,594,458,226,52.13169343571117,36.420934481987864,991.7940183784157,1003.7940183784157,925000,542.6201661567752,12.0,24.830334376042305,15.617498442172002,1,1,0,0,0,0,0,0.15986999201399157,1.6717529694906856,-12.30331705646375,12.416375017809052,1.403063668405142,1.8124647846515627,2243.0
2003,3,21,6,37699.25,1,1,594,459,224,51.607883384837955,36.29048357799503,993.1622384325408,1005.1622384325408,957500,552.0703904584809,12.0,24.527819246105885,14.74902334229031,1,1,0,0,0,0,0,1.3682200541251222,-3.0028268339997917,-19.41500672750967,19.64585083991617,12.094362869669517,2.297481653981732,2367.0
2003,3,21,9,37699.375,1,1,594,459,222,51.223130579355264,35.89086647972254,995.4042231740373,1005.4042231740373,876250,528.1278611932404,10.0,22.813330010651544,14.474024335038848,1,1,0,0,0,0,0,2.2419847414965623,-9.276456757183158,-14.260853327312091,17.01248328701596,19.924458633759304,2.4357111312934396,2714.0
2003,3,21,12,37699.5,2,2,594,460,220,50.69697448278256,35.77011375627228,999.3792245419468,1007.3792245419468,1058125,580.3547607439983,8.0,18.491880626910902,13.814180350628884,1,2,0,0,0,0,0,3.9750013679094263,-2.835003279557829,-19.50196285399642,19.706947981708378,35.5897862886562,2.1432437423346276,2054.0
2003,3,21,15,37699.625,1,1,594,463,219,50.08195870711038,36.37739591208068,1002.2622661460299,1010.2622661460299,1404375,668.6003637520406,8.0,16.4570149797356,8.761273032368917,1,2,0,0,0,0,0,2.8830416040831186,14.443721367936135,-22.795544687038017,26.986254733351238,26.043361492910602,1.9748103184436818,2029.0
2003,3,21,18,37699.75,1,2,594,465,218,49.60473768114621,36.70758708990733,1005.1296903015839,1012.0904790085688,1303750,644.2022307568618,6.960788706984895,15.481851568367237,7.213655013313254,2,0,0,0,0,0,0,2.8674241555540356,7.9312564573053566,-17.688185658442364,19.38496171982483,26.08496411479634,2.085769822316999,2583.0
2003,3,21,21,37699.875,2,3,594,467,217,49.12537142045002,37.030389605678636,1006.9729009897636,1011.3149237569935,873125,527.1852799293833,4.342022767229937,14.342811999885372,7.227428345992521,2,0,0,0,0,0,0,1.843210688179679,7.829744739071211,-17.767698731329947,19.416385371286726,16.888515495373404,1.6673255731763537,1939.0
2003,3,22,0,37700.0,0,1,594,468,217,48.98044379632725,37.28577260570116,1008.7692200057093,1013.0733551009461,967500,554.945776524894,4.304135095236852,13.409482651826272,6.780385346287876,2,0,0,0,0,0,0,1.7963190159456282,6.212535434546378,-5.371738844367028,8.212866414204967,16.495030577414067,1.2402458570087906,1368.0
2003,3,22,3,37700.125,0,1,594,469,218,49.02468296054075,37.734553100160895,1010.3088533924091,1013.8318053618373,744375,486.76680405308986,3.52295196942825,12.738254072136433,5.29332098295672,2,0,0,0,0,0,0,1.539633386699861,10.90748575472125,1.6397235398455094,11.030047088592617,14.128482194894763,1.170752710100247,1418.0
