year,month,day,hour,Dp,DpDt,DsqP,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,lon,p_cent,p_edge,p_grad,pid,ptid,radius,time,type,u,uv,v,x,y,precip,precipArea
2004,9,20,3,,,9.486637481236539,3,0,0,0,0,1705625,1,10.0,12,63.91177054675275,138.51067843026732,983.4453777159641,993.4453777159641,15.007200247584791,12,427.0,736.8292201197154,38248.125,1,,,,436,446,6.177527685705656,4290.0
2004,9,20,6,-0.08012547056379844,-0.6214018446030433,8.640517396028299,0,0,0,0,0,1814375,2,10.0,11,63.296494301182754,141.52953599884725,983.3652522454004,993.3652522454004,14.346303041132934,11,427.0,759.9562485727157,38248.25,1,50.27752135939675,55.20784595831506,-22.80519899743144,433,452,6.089702190168463,4059.0
2004,9,20,9,1.3837959117465652,10.745455762155384,10.114559409413777,0,0,0,0,0,1511875,3,8.0,12,63.1524732783432,141.15184337928557,984.749048157147,992.749048157147,13.122872807538675,12,427.0,693.7180689401989,38248.375,1,-6.322263978293509,8.274461581020736,-5.33813568997272,434,452,5.891371957204967,4389.0
2004,9,20,12,1.2418152334279149,9.634024285130188,5.802040889686323,0,0,0,0,0,1246875,3,6.0,10,63.257499251910026,142.20996184561582,985.9908633905748,991.9908633905748,11.812052607483572,10,427.0,629.9941581756246,38248.5,1,17.64768750675913,18.07192990522568,3.8927851421788002,432,453,6.048377754285507,4432.0
2004,9,20,15,0.6238870583329117,4.813077138524443,4.559963231995498,0,0,2,0,0,5174375,0,12.838747761150152,9,63.9037976286623,142.38604315126727,986.6147504489077,999.4534982100579,10.684788794748231,10,427.0,1283.3762960730776,38248.625,2,2.8708512954971823,24.126446456941146,23.95503353115562,430,451,7.901286495934685,6606.0
2004,9,20,18,0.1292359916474379,0.9946563770117837,6.060812356603273,0,0,0,0,0,5081250,0,12.174234247557324,10,64.18219217083684,143.18022988249754,986.7439864405552,998.9182206881125,10.327871841250571,11,427.0,1271.775180278097,38248.75,2,12.819838634388569,16.45671783558176,10.318686898447543,428,451,16.37556535500706,9052.0
2004,9,20,21,-0.13600844373955623,-1.0522530439777522,3.7807015142791354,0,0,0,2,2,370000,1,4.0,12,63.57291382086972,153.3253967967455,984.7822122443729,988.7822122443729,12.471597536387927,12,430.0,343.1831258788849,38248.875,1,-7.146973772354849,16.8830995669806,15.295745058213164,412,464,1.867067209534969,2309.0
2004,9,21,0,0.47287888395032496,3.648784094733988,5.452114941170148,0,0,0,0,0,672500,1,4.0,11,63.88188371283389,153.5457722427678,985.2550911283232,989.2550911283232,11.739366350884472,11,430.0,462.6698590340625,38249.0,1,3.5958331212480985,12.003226142255274,11.451961490777707,411,463,2.2976872415583722,2726.0
2004,9,21,3,0.17137455667572796,1.3188834288301245,6.743740510288189,0,0,2,0,0,803750,2,4.0,12,64.19024467892486,153.77131939783212,985.426465684999,989.426465684999,11.396649490604933,12,430.0,505.80784001458665,38249.125,1,3.6397679109533247,11.994953286703147,11.429391668176619,410,462,2.917701127349442,3263.0
2004,9,21,6,0.8851812637796683,6.794724696748733,6.749849904847724,0,0,0,0,0,1561875,2,6.0,11,64.49798592264231,154.00221523277995,986.3116469487786,992.3116469487786,10.933050388561286,11,430.0,705.0959179312472,38249.25,1,3.6846473862373994,11.986787799735101,11.406421673556181,409,461,7.3565138485923995,5190.0
2004,9,21,9,1.219789673656487,9.331888320613425,2.9798497540075912,0,0,0,0,0,2295000,0,7.676745721260668,11,64.90410882682559,154.70285766141274,987.5314366224352,995.2081823436959,10.982548692357824,12,430.0,854.7053227819513,38249.375,2,11.01441695607565,18.652298744234603,15.052935513111352,407,460,6.2393608844994395,4584.0
2004,9,21,12,1.4162164297241544,10.79833486920332,3.282625670199341,0,0,0,0,0,2221875,0,6.753741931672121,10,65.31854160557054,154.25507778928386,988.9476530521592,995.7013949838314,10.145410778654142,11,430.0,840.978464863762,38249.5,2,-6.930424437105885,16.851981647972732,15.360940810548529,407,458,5.986987617467919,4356.0
2004,9,21,15,0.5695262964545691,4.311088617929201,3.471418232439246,0,0,0,0,0,1357500,0,4.734284388813976,12,66.24356687437778,153.79988515865267,989.5171793486138,994.2514637374278,10.67764220277418,13,430.0,657.3474503597743,38249.625,2,-6.79674172333874,34.95322826710089,34.286038969794795,406,454,5.945119686922811,4315.0
2004,9,21,18,0.7433060113123793,5.613400601769646,3.2141612952063587,0,0,0,0,0,1369375,0,4.9968132156130745,11,66.54995324242478,154.05100873132125,990.2604853599263,995.2572985755393,11.06020693099688,12,430.0,660.2163284809975,38249.75,2,3.7040661932231123,11.945018141093225,11.356203239959555,405,453,2.0097753989886917,2869.0
2004,9,21,21,1.0518953452821007,7.907467932729183,2.2659476165466184,0,0,0,0,0,1366875,0,5.295349964500929,10,67.16527322684783,153.3084682788947,991.3123807052084,996.6077306697093,11.539820675028395,12,430.0,659.613391068942,38249.875,2,-10.680610689531745,25.18385378144302,22.806820176950627,405,450,2.1880459422774408,2902.0
2004,9,22,0,1.7145667873619823,12.841278468366355,1.700115230874726,0,0,0,0,0,1771250,0,6.594487094437791,11,67.67639508916893,153.3056131971992,993.0269474925703,999.6214345870081,10.934600400141676,13,430.0,750.8704188493772,38250.0,2,-0.040195724963779614,18.944761971419464,18.944719329075205,404,448,2.3843468489327826,3085.0
2004,9,22,3,0.7182256249920465,5.419929327448918,4.154294595540196,0,0,0,0,0,1724375,0,6.6115768579856375,9,66.64923601883088,154.5485494323551,993.7451731175623,1000.356749975548,10.772086284179856,10,430.0,740.8681461556936,38250.125,2,18.259724095638923,42.22400048665855,-38.071625826177744,404,453,2.2916064884200855,2888.0
2004,9,22,6,1.3541649879148463,10.583075342145818,4.21844125208052,0,0,0,2,0,1817500,1,8.0,11,62.43707804103067,152.9093142164644,993.7109149634629,1001.7109149634629,12.03898257950243,11,459.0,760.6104246846999,38250.25,1,32.1280135862973,33.24283660014436,8.536798476161493,415,468,2.144314957475754,2717.0
2004,9,22,9,2.077993770489993,16.23994478506496,4.853194974362632,0,0,0,0,0,1332500,1,6.0,11,62.43707804103067,153.96058342937962,995.7889087339529,1001.7889087339529,11.968106505850072,11,459.0,651.2663996705965,38250.375,1,18.02990519576796,18.02990519576796,0.0,413,469,1.8985490228136805,2363.0
2004,9,22,12,2.1099052264403144,16.171685482524115,2.050374861770615,0,0,0,0,1,1502500,0,5.563373199037305,14,64.67773749574714,156.06344845213036,997.8988139603931,1003.4621871594304,11.021214236149394,16,459.0,691.5638827983613,38250.5,2,33.335249129669485,89.49044264542022,83.0499879008788,405,462,1.7570686212902464,2273.0
2004,9,22,15,1.0187357913136657,7.7567953645536125,2.1293640814372337,0,0,0,0,0,1005625,0,3.793881212236447,14,65.49332548106584,156.38572793192836,998.9175497517068,1002.7114309639433,10.964477465272434,16,459.0,565.7741415914787,38250.625,2,4.954888128277184,30.63312953059289,30.22974873323197,403,459,1.5906393512842922,2053.0
2004,9,22,18,1.436083909769077,10.926643420841549,3.101855355605658,0,0,0,0,1,1215000,0,3.945468961689912,15,65.58433544604756,156.8709431652166,1000.3536336614759,1004.2991026231658,10.33331403752777,17,459.0,621.8894690484038,38250.75,2,7.4339318664553335,8.163478137493668,3.373282126688633,402,459,1.5614346987728875,2030.0
2004,9,22,21,1.3785488145249838,10.306267954543955,3.0515160251130147,0,0,1,0,0,526875,3,2.0,13,67.92682039122856,157.49261189905872,1001.7321824760008,1003.7321824760008,8.957586248044514,13,459.0,409.52352958418,38250.875,1,8.658979721116077,87.25485928843709,86.82414721512822,397,450,1.209169545368299,1562.0
2004,9,23,0,1.0810210885791458,8.486642446615686,3.997018181231324,0,0,0,2,1,633750,2,2.0,13,61.94645450001704,162.88028443805277,1002.8698078639421,1004.8698078639421,8.970399079950168,13,470.0,449.14239431273614,38251.0,1,5.273634884273961,11.957440287311574,10.731689211489059,396,478,1.144141716166771,1722.0
2004,9,23,3,0.1850790326858987,1.446555225666836,3.051777918264415,0,0,0,0,0,728750,2,2.0,15,62.427604084573446,164.5387822595581,1003.054886896628,1005.054886896628,8.307878912080518,15,470.0,481.6309059398467,38251.125,1,28.452787984902,33.579837409876134,17.833797586603172,392,477,1.0623804535785448,1666.0
2004,9,23,6,0.9081140743465221,7.09770923633993,1.961095268513891,0,0,0,0,2,625,1,0.0,16,62.427604084573446,164.5387822595581,1003.9630009709746,1003.9630009709746,7.577062771424503,16,470.0,14.104739588693906,38251.25,1,0.0,0.0,0.0,392,477,0.137281899199884,231.0
2004,9,23,9,0.0,,,0,3,0,0,0,0,0,,16,62.427604084573446,164.5387822595581,,,7.577062771424503,16,470.0,0.0,38251.375,0,0.0,0.0,0.0,392,477,0.0,0.0
