year,month,day,hour,Dp,DpDt,DsqP,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,lon,p_cent,p_edge,p_grad,pid,ptid,radius,time,type,u,uv,v,x,y,precip,precipArea
2015,3,21,9,,,11.998439046002895,3,0,0,0,0,496250,1,6.0,5,46.57037012407915,-37.26378098795975,1016.7363847817641,1022.7363847817641,8.038498253784791,5,536.0,397.44343121846424,42082.375,1,,,,245,209,8.398799965270486,4703.0
2015,3,21,12,0.40025060127285544,3.7320217397776947,7.237408431066433,0,0,0,0,0,238750,1,4.0,3,47.99047603691498,-34.774263980806374,1017.136635383037,1021.136635383037,8.676063977737394,3,536.0,275.6746004375086,42082.5,1,61.75199739263665,81.14109795988685,52.63619093509475,255,209,7.124523392856238,4496.0
2015,3,21,15,-2.1619080826971913,-19.554582243179393,7.830568806355222,0,0,0,0,0,288125,1,6.0,4,49.99297837918001,-33.099410311333116,1014.9747273003397,1020.9747273003397,10.075214572468516,4,536.0,302.84160209044046,42082.625,1,39.90822685532516,84.2714412963603,74.22270035123893,264,213,2.8270674403956813,1259.0
2015,3,21,18,-1.1209818351651484,-10.00604782139781,8.117520749584292,0,0,0,0,0,273750,1,6.0,1,50.911191718994566,-32.34272663277671,1013.8537454651746,1019.8537454651746,10.655833052094922,1,536.0,295.19033070683855,42082.75,1,17.683895856740932,38.3536574241618,34.03355498824509,268,215,2.6374356327897224,1402.0
2015,3,21,21,-0.41247879793387254,-3.6436048822967506,8.670480826509738,0,0,0,0,0,151250,1,4.0,3,51.65744391277193,-30.612612126555412,1013.4412666672407,1017.4412666672407,11.12640484577897,3,536.0,219.41825422078801,42082.875,1,39.78079212496086,48.45180106699277,27.65981931513823,274,215,2.637482677340449,1433.0
2015,3,22,0,-2.258219676901936,-19.64737550620235,11.52979885965753,0,0,0,0,0,142500,1,4.0,1,52.77917988459154,-29.15691788231299,1011.1830469903388,1015.1830469903388,12.703995679813655,1,536.0,212.97689729449573,42083.0,1,32.63636760887215,52.8563061147649,41.577116367014845,280,217,2.762033200203612,1766.0
2015,3,22,3,-2.4182107179789454,-20.631361939982902,10.555581687236918,0,0,0,0,0,161875,1,4.0,1,54.297459389963485,-27.13717261286881,1008.7648362723598,1012.7648362723598,12.912261627223286,1,536.0,226.99430130732603,42083.125,1,43.68615470495858,71.24152525745852,56.27499274192334,288,220,3.136887127252329,2034.0
2015,3,22,6,-3.029646042216191,-25.008253661790437,8.641833094191389,0,0,0,0,0,161875,1,4.0,1,57.06870324191311,-22.939100532791738,1005.7351902301436,1009.7351902301436,11.91709799635619,1,536.0,226.99430130732603,42083.25,1,84.57674521282203,133.05570289902445,102.71608561057438,303,226,2.91904557164081,1692.0
2015,3,22,9,-3.239247620873648,-26.408231293448672,12.672465316007584,0,0,0,0,0,95000,1,4.0,3,58.191778847791625,-20.245048218039763,1002.49594260927,1006.49594260927,13.574669637353363,3,536.0,173.8949084575512,42083.375,1,52.6278370316921,67.10050074700283,41.62676987065156,311,228,2.7193813050064852,1498.0
2015,3,22,12,-3.2736987936262447,-26.22080356216765,11.799933165927722,0,0,0,0,0,37500,1,2.0,3,59.88207588103731,-16.389540334034784,999.2222438156438,1001.2222438156438,14.075914418516483,3,536.0,109.25484305920791,42083.5,1,71.69659369465138,95.21305881731885,62.650818206423246,322,232,2.334608974362098,1383.0
2015,3,22,15,-3.746486424551549,-29.68395234807413,12.441315875278379,0,0,0,0,0,31250,1,2.0,3,60.97711408267086,-13.765215312007653,995.4757573910922,997.4757573910922,15.589760142711915,3,536.0,99.73557010035817,42083.625,1,47.18851863285435,62.24232206340631,40.58756416787726,329,235,2.001221718586847,1245.0
2015,3,22,18,-3.6003226533101405,-28.321602371821022,14.07298213151931,0,0,0,0,0,88125,1,4.0,2,61.73089966672284,-11.309932474020215,991.875434737782,995.875434737782,17.133007530814755,2,536.0,167.48450292473797,42083.75,1,43.09861919505556,51.36225432792824,27.93904424146201,335,237,2.2305236523408656,1445.0
2015,3,22,21,-2.950184792801447,-23.058285786226264,17.196755981304815,0,0,0,0,0,189375,1,6.0,2,62.427604084573446,-8.7282964135823,988.9252499449806,994.9252499449806,18.124013327971976,2,536.0,245.51972363957924,42083.875,1,44.288195564088625,51.266838724964146,25.823332211945925,341,239,2.4066888318690074,1366.0
2015,3,23,0,-3.9120664242561904,-30.47101850941976,17.406996778037573,0,0,0,0,0,104375,1,6.0,1,62.808921636278036,-6.445418036259688,985.0131835207244,991.0131835207244,20.730602951287807,1,536.0,182.27340554900803,42084.0,1,38.663521366892404,41.165816329199934,14.133525730024992,346,240,2.831469413976631,1666.0
2015,3,23,3,-2.259949540933012,-17.55017034021955,16.59497459151542,0,0,2,0,0,3328125,2,18.0,1,63.14470862406456,-4.102796923242021,982.7532339797914,1000.7532339797914,21.61286875781202,1,536.0,1029.259486211047,42084.125,1,39.22193191139251,41.14925610527497,12.445936491706831,351,241,3.9190422607437916,3583.0
2015,3,23,6,-0.4621041953584063,-3.572036906289238,6.910021320250234,0,0,0,0,0,3246875,3,18.0,0,63.6735545738693,-0.7376731374321978,982.291129784433,1000.291129784433,20.800208921714823,0,536.0,1016.6181248153091,42084.25,1,55.30870324287707,58.67944968507906,19.601662198269917,358,243,3.2565854607683122,3269.0
2015,3,23,9,-0.01856467727920972,-0.14271203940189017,6.694669045359697,0,0,0,0,0,3184375,2,18.0,2,64.32344892503018,3.277675952190276,982.2725651071538,1000.2725651071538,20.45243306497261,2,536.0,1006.7859970304058,42084.375,1,64.47535881543801,68.82818441419757,24.088318234681932,366,246,3.183650587747957,3161.0
2015,3,23,12,1.251850890309288,9.59808559045074,8.301589376347183,0,0,0,0,0,3805000,2,18.0,2,64.63882732013681,6.903553919725023,983.524415997463,1001.524415997463,18.680381266205334,2,536.0,1100.531288482669,42084.5,1,57.55578636642954,58.73085031937671,11.689492503053968,373,248,3.4854001622189985,3106.0
