year,month,day,hour,Dp,DpDt,DsqP,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,lon,p_cent,p_edge,p_grad,pid,ptid,radius,time,type,u,uv,v,x,y
1976,10,15,6,1.3102355527773033,10.177910559320106,11.556409069089058,2,0,0,0,2,225625,1,4.0,10,63.11173187226966,98.94758475481562,996.0540634131465,1000.0540634131465,13.582882445698312,10,271.0,267.99005218518425,28046.25,1,0.0,0.0,0.0,477,378
1976,10,15,9,1.7453464482292476,13.539732231410856,10.550525390271723,0,0,0,0,0,403750,1,4.0,11,63.26334516868888,99.97992114574457,997.7994098613758,1001.7994098613758,12.515479995423576,11,271.0,358.49353766379875,28046.375,1,17.214207467220394,18.108235796268946,5.619543124558227,476,380
1976,10,15,12,2.790927364446252,21.59877031012456,6.204346342747449,0,0,2,0,0,4183125,0,9.564908389391057,9,63.53944544869996,102.07766916236423,1000.590337225822,1010.1552456152131,10.337826822789546,11,271.0,1153.9194264083474,28046.5,2,34.64374487968715,36.12363013624283,10.233650127458027,474,384
1976,10,15,15,-0.5435255090333522,-4.217330784063428,6.489457396518701,0,0,1,0,0,3908750,2,10.0,12,63.23996856079943,111.03751102542182,1000.0468117167886,1010.0468117167886,9.436694321129018,12,271.0,1115.434340345003,28046.625,1,149.4064532613348,149.8182251077877,-11.100103527279806,470,402
1976,10,15,18,-0.5313974110441632,-4.141610611958989,5.409915727517436,0,0,0,0,0,3619375,0,9.897871981085482,11,62.73992332553751,117.94668523129906,999.5154143057445,1009.4132862868299,9.663874591886117,13,271.0,1073.3512213187523,28046.75,2,117.24005587522728,118.69602332133442,-18.534164417970167,466,416
1976,10,15,21,-0.7650468551793892,-5.935348577379418,3.630900455112497,0,0,0,0,0,2718750,0,9.25130630071857,12,63.25555087458964,117.97279266495207,998.7503674505651,1008.0016737512836,10.275381711024451,13,271.0,930.2714674019519,28046.875,2,0.4354636631251808,19.11668290856759,19.11172249758817,464,415
1976,10,16,0,-1.0751952824204636,-8.28911812022139,3.6399809842039392,0,0,0,0,0,1198750,1,6.0,12,63.98362852150822,117.12130340415867,997.6751721681446,1003.6751721681446,11.541310923064351,12,271.0,617.7167441981957,28047.0,1,-13.843183130839488,30.32964951846903,26.986180180218348,462,412
1976,10,16,3,-0.07735201409843284,-0.5948191388978415,4.3939718754364,0,0,0,0,0,244375,1,4.0,14,64.28503668028898,118.02808308565236,997.5978201540462,1001.5978201540462,12.026628160992146,14,271.0,278.90317035875347,28047.125,1,14.582965834743268,18.370341896848362,11.171686035232682,460,413
1976,10,16,6,0.9087731606590387,6.9882558996951945,3.691702669830411,0,0,0,0,0,324375,1,4.0,12,64.28503668028898,118.02808308565236,998.5065933147052,1002.5065933147052,10.779969180370228,12,271.0,321.32813342573525,28047.25,1,0.0,0.0,0.0,460,413
1976,10,16,9,1.5297393266949804,11.763342424218882,4.397833209738965,0,0,0,0,0,378125,1,4.0,14,64.28503668028898,118.02808308565236,1000.0363326414002,1004.0363326414002,10.445616229335872,14,271.0,346.930721777772,28047.375,1,0.0,0.0,0.0,460,413
1976,10,16,12,0.4937451431102818,3.7973665721213496,4.026389112263932,0,0,0,0,0,302500,1,4.0,12,64.26685996475366,119.15229501807315,1000.5300777845105,1004.5300777845105,10.680860391205009,12,271.0,310.30427095126595,28047.5,1,18.091570417839492,18.10411053244668,-0.6737195168628021,459,415
1976,10,16,15,0.7791546163478051,5.9924350364137835,4.048198343626864,0,0,0,0,0,409375,1,4.0,13,64.26685996475366,119.15229501807315,1001.3092324008583,1005.3092324008583,10.196901930675924,13,271.0,360.98214589711955,28047.625,1,0.0,0.0,0.0,459,415
1976,10,16,18,0.4597151015599957,3.5546009848370677,3.930930995932431,0,0,0,0,0,522500,1,4.0,11,63.6399682329324,119.53166034790888,1001.7689475024183,1005.7689475024183,9.055561248554232,11,271.0,407.8197095911754,28047.75,1,6.243292874319457,24.059877425237637,-23.235726711315305,461,417
1976,10,16,21,0.746035153639823,5.764247131151267,3.433172569939052,0,0,0,0,0,635000,1,4.0,11,63.724998616927266,120.20323775494268,1002.5149826560581,1006.5149826560581,8.229863116391334,11,271.0,449.5851173323102,28047.875,1,11.019140024827333,11.460992058243344,3.1516491036226166,460,418
1976,10,17,0,0.0,,,0,3,0,0,0,0,0,,11,63.724998616927266,120.20323775494268,,,8.229863116391334,11,271.0,0.0,28048.0,0,0.0,0.0,0.0,460,418
