year,month,day,hour,Dp,DpDt,DsqP,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,lon,p_cent,p_edge,p_grad,pid,ptid,radius,time,type,u,uv,v,x,y,precip,precipArea
2008,12,22,6,,,8.466730571644657,3,0,0,0,0,625,1,0.0,18,37.77911898173813,146.98147470801194,1008.0039201021691,1008.0039201021691,8.725066741413704,18,643.0,14.104739588693906,39802.25,1,,,,482,548,4.011807970335747,1630.0
2008,12,22,9,1.5476097228600703,17.304809431640663,7.117979751027597,0,0,0,0,0,625,1,0.0,15,38.28732994576478,148.7715997170824,1009.5515298250291,1009.5515298250291,8.484311627908374,15,643.0,14.104739588693906,39802.375,1,52.07892877256142,55.38087099196742,18.8368269549681,475,550,4.843571100338764,1760.0
2008,12,22,12,0.037817395627789664,0.42775797584039027,6.850635055313105,0,0,0,0,3,625,1,0.0,18,37.77131012362014,149.38587012455386,1009.5893472206569,1009.5893472206569,9.231730458322135,18,643.0,14.104739588693906,39802.5,1,17.997137181129705,26.262346587049237,-19.126262090170556,474,553,8.23097903358265,2673.0
2008,12,22,15,-0.6725183226949594,-7.5953102180766665,7.745229432199776,0,0,3,0,0,625,1,0.0,17,37.839386039484815,150.52411099675425,1008.916828897962,1008.916828897962,9.827791374288275,17,643.0,14.104739588693906,39802.625,1,33.31775800651531,33.41316655300054,2.5232321569445597,470,555,10.273566142963997,2988.0
2008,12,22,18,-2.0716941175701504,-23.427342564813298,10.805583104868202,0,0,0,0,0,271250,1,4.0,16,37.782465883509175,152.0099745504066,1006.8451347803918,1010.8451347803918,12.119820785892616,16,643.0,293.83933812094193,39802.75,1,43.52646920779251,43.57756925577388,-2.109744189436098,465,558,20.04158817222732,8578.0
2008,12,22,21,0.8311178559550899,9.347814729211605,13.972372828613445,0,0,0,0,0,271875,1,4.0,17,38.02383640518492,153.606663931723,1007.6762526363469,1011.6762526363469,12.194992744200393,17,643.0,294.1776679257249,39802.875,1,46.619729127536885,47.47038110656002,8.946392483964658,459,560,17.291346408337496,6615.0
2008,12,23,0,2.511474002652685,29.21142260944962,9.52324669806796,0,0,0,0,1,511875,0,3.7592896427612867,16,36.55951636368545,154.0486094608085,1010.1877266389996,1013.9470162817609,10.956802250866126,15,643.0,403.65192058297936,39803.0,2,13.157598343314035,55.84708190505704,-54.274986532897174,460,566,13.966688703231096,4230.0
2008,12,23,3,-0.7816516156864236,-9.268564356200235,4.577672974202724,0,0,0,0,0,1524375,0,5.670894231867569,16,35.75217560827881,151.94922423382144,1009.4060750233132,1015.0769692551808,8.836980880711094,15,643.0,696.579954313513,39803.125,2,-63.14861118857036,69.87987394527221,-29.92406535820126,469,565,14.702257636747262,4581.0
2008,12,23,6,-1.503343733488873,-16.35855329868175,23.09433096563269,0,0,0,2,2,121250,1,4.0,16,39.546093904620456,157.73437047536166,1005.5736255216918,1009.5736255216918,14.024585041628299,16,664.0,196.456289539899,39803.25,1,68.91405855427382,89.77898254020977,57.54231694616935,442,561,15.407709261261672,4918.0
2008,12,23,9,1.4027511351776776,14.867797637441894,19.132846515790007,0,0,0,0,0,230000,1,4.0,17,40.81842925919169,159.77514056883192,1006.9763766568695,1010.9763766568695,13.795867727385893,17,664.0,270.5758189903005,39803.375,1,57.24274014700769,74.1667716258053,47.1590788062756,433,559,15.86330827696762,4513.0
2008,12,23,12,0.8380849900882459,9.07070570252366,9.839626182020801,0,0,2,0,0,1695000,2,8.0,18,39.80145059918337,159.89265681598872,1007.8144616469577,1015.8144616469577,12.742542902313355,18,664.0,734.5306372654072,39803.5,1,3.3463700065422164,37.84253728238191,-37.69428916623551,434,563,16.714342972409245,4716.0
2008,12,23,15,-1.4895458741890615,-16.678756617604595,17.07691886314802,0,0,0,0,1,276875,3,4.0,18,38.224454902540856,159.94007481955325,1006.3249157727687,1010.3249157727687,13.163946772173198,18,664.0,296.87042583783426,39803.625,1,1.3807164948850381,58.46761206449923,-58.451306935649676,436,569,17.304644988721535,4837.0
2008,12,23,18,-2.3536514659729435,-25.21576897956745,20.235049204605822,0,0,0,2,0,383125,2,6.0,17,40.29187899993679,162.24008067384474,1004.5689730043043,1010.5689730043043,14.806549785489468,17,676.0,349.2169456715478,39803.75,1,-5.272561100826173,40.8772310014741,-40.535763392169265,425,564,17.030523823570565,4593.0
2008,12,23,21,0.0,,,0,3,0,0,0,0,0,,17,40.29187899993679,162.24008067384474,,,14.806549785489468,17,676.0,0.0,39803.875,0,0.0,0.0,0.0,425,564,0.0,0.0
