year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt
1956,12,2,0,20789.0,6,6,43,482,280,56.81763519368797,57.01725184256447,1014.8215964494328,1018.8215964494328,445625,376.6256006044354,4.0,10.301462810501631,3.2390749524380955,1,1,3,0,0,0,0,,,,,
1956,12,2,3,20789.125,8,8,43,483,285,57.240266362587825,58.89998741203563,1013.24436101116,1019.24436101116,555625,420.54836881251686,6.0,12.546113122780019,5.577274437211818,1,1,0,0,0,0,0,-1.57723543827291,37.75988649940706,15.664813941174431,40.88025714522496,-12.994167749084573
1956,12,2,6,20789.25,8,8,43,486,290,57.21594051868037,61.21529326972413,1012.5422362974601,1018.5422362974601,338750,328.37093955580036,6.0,14.381041902651283,6.20717625227866,1,1,0,0,0,0,0,-0.7021247136997408,46.46533531582174,-0.9016368096189502,46.4740824002821,-5.786086254333513
1956,12,2,9,20789.375,6,6,43,489,295,57.13658670380081,63.523504825841954,1011.4017473951858,1019.4017473951858,506875,401.6756447177361,8.0,16.094818709741922,7.425839882003784,1,1,0,0,0,0,0,-1.1404889022743736,46.42254703233035,-2.9412472081659295,46.51562971849857,-9.406968613743832
1956,12,2,12,20789.5,7,7,43,493,303,57.06870324191311,67.06089946720826,1011.9495656165453,1019.9495656165453,417500,364.54681109801606,8.0,16.96096184331318,7.785256926893271,1,1,0,0,0,0,0,0.5478182213594845,71.26961989433627,-2.5160988549939844,71.31402017367465,4.521972814450397
1956,12,2,15,20789.625,5,5,43,496,309,56.93330444320718,69.69737233764383,1011.6082140938588,1021.6082140938588,651875,455.51976582367814,10.0,17.966973031716083,9.5691513533159,1,1,0,0,0,0,0,-0.3413515226864547,53.31462467386301,-5.018553163288853,53.55030420051448,-2.822018024100038
1956,12,2,18,20789.75,4,4,43,498,315,56.94939775704144,72.18780686428431,1011.9378216263107,1021.9378216263107,675625,463.74358955453346,10.0,18.339982464346786,10.464900105550042,1,1,0,0,0,0,0,0.3296075324517733,50.340050601870246,0.5964982837557746,50.34358454462078,2.724430107441689
1956,12,2,21,20789.875,5,5,43,500,320,56.83849368687168,74.29726712608166,1011.3955118718798,1023.3955118718798,1125000,598.413420602149,12.0,18.95384185246005,8.94689466945114,1,1,0,0,0,0,0,-0.5423097544308985,42.76671953990112,-4.110656649036212,42.96381964270432,-4.488219529295138
1956,12,3,0,20790.0,6,6,43,501,325,56.90917737754748,76.29769984188023,1010.8142607474572,1022.8142607474572,1269375,635.6529019634453,12.0,19.714555596273083,7.1296212184083565,1,1,0,0,0,0,0,-0.5812511244225607,40.47987754084204,2.6198892665538507,40.56456958345019,-4.806631919832378
1956,12,3,3,20790.125,7,7,43,502,331,56.984827330794566,78.69006752597979,1011.345843151327,1023.345843151327,1583750,710.0163957568716,12.0,19.57253089487948,6.27529300194139,1,1,0,0,0,0,0,0.5315824038698338,48.31202812014853,2.8039636673247683,48.39332881017486,4.392123275349856
