year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,DpDt,Dp,u,v,uv
1966,2,27,3,24163.125,6,6,850.0,390,281,71.05715166535857,21.23289229541843,,,0,0.0,,9.091787742093729,,0,0,0,0,0,0,0,,,,,
1966,2,27,6,24163.25,7,7,871.0,392,295,73.77566940047673,26.74243692461026,998.0841120484855,998.0841120484855,625,14.104739588693906,0.0,10.342288108061123,1.2779185803788278,1,1,3,0,0,3,0,,,57.03609478701266,100.76179337946502,115.7845201812362
1966,2,27,9,24163.375,7,7,871.0,394,305,75.52124795623138,32.33493623495764,997.0521311968723,997.0521311968723,625,14.104739588693906,0.0,11.31384173650088,3.9658919357652485,1,1,0,0,0,0,0,-7.38429513434957,-1.0319808516131888,51.806519547031876,64.69982648648411,82.88536067942364
1966,2,27,12,24163.5,5,5,871.0,395,307,75.775439967977,34.06618321424421,995.7867723936791,997.7867723936791,213125,260.46073503106066,2.0,12.606573414129814,5.402647249872971,1,1,0,0,0,0,0,-9.043949452312944,-1.2653588031932304,15.767138737328073,9.421620699895614,18.367623705173543
1966,2,27,15,24163.625,5,5,871.0,396,309,76.0160356943539,35.858359776475105,994.4604408015495,996.4604408015495,220000,264.6283714200614,2.0,13.593269760717936,4.895165416963937,1,1,0,0,0,0,0,-9.46974592798458,-1.326331592129718,16.051485173781295,8.917674715158165,18.362328245881347
1966,2,27,18,24163.75,6,6,871.0,397,310,76.06318906295688,37.14668669802178,993.0810961456144,997.0810961456144,511875,403.65192058297936,4.0,14.700398648990088,4.967676379488039,1,1,0,0,0,0,0,-9.846234117417653,-1.3793446559349831,11.50087304517092,1.747738454283576,11.632913242422147
1966,2,27,21,24163.875,8,8,871.0,399,311,75.96182055696012,39.16050768848255,992.4583917018508,996.4583917018508,440000,374.2410318509555,4.0,15.543171841993576,4.533227047576947,1,1,0,0,0,0,0,-4.447036785199385,-0.6227044437636505,18.104968532686925,-3.757221196125918,18.49071650007651
1966,2,28,0,24164.0,5,5,871.0,400,311,75.8182382321356,39.86362150757227,992.443585187204,996.443585187204,445000,376.3613946086751,4.0,15.201473825995016,4.278617120113122,1,1,0,0,0,0,0,-0.10580718737710332,-0.014806514646770665,6.384850253200352,-5.321875358772675,8.311959461529176
1966,2,28,3,24164.125,5,5,871.0,401,312,75.84326231370127,41.14319901441015,992.0139736432596,998.0139736432596,737500,484.5137160706037,6.0,15.66461438309669,4.455404492673187,1,1,0,0,0,0,0,-3.0696607701943925,-0.4296115439443383,11.599371416592463,0.9275169713479442,11.636395704521254
1966,2,28,6,24164.25,4,4,871.0,402,314,76.02690341992721,43.04749095060039,992.651195219513,998.651195219513,720625,478.93847384731384,6.0,15.718627435454998,3.7950579668264983,1,1,0,0,0,0,0,4.549421539841019,0.6372215762533596,17.04256205534073,6.806653111905972,18.351551650908405
1966,2,28,9,24164.375,5,5,871.0,401,316,76.50981317497545,43.65211271980141,992.5826367004493,998.5826367004493,668125,461.162436356806,6.0,16.273837570572233,4.903201889265765,1,1,0,0,0,0,0,-0.48846413296710495,-0.06855851906380848,5.227823335724329,17.899038262843387,18.646868572612277
1966,2,28,12,24164.5,7,7,871.0,402,315,76.19092359094432,43.68308759420674,993.1828770678817,999.1828770678817,580625,429.905428746211,6.0,16.559079396302547,6.622439640285376,1,1,0,0,0,0,0,4.28236260197051,0.6002403674324159,0.2740328137035289,-11.819634634684407,11.822810870534022
