SN,CruiseID,Station,Time [UTC],Bottom Depth [m],Lon,Lat,Pressure (db),Depth [m],Temp [°C],Salinity,pH,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma-Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,,TA,DIC,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out
112,NYOS1902,6.4,2/11/19 23:20,41.5,-73.13816667,39.67433333,23.035,22.858,5.7696,32.6861,1.988,0.5824,5.06E-11,1025.8591,5.7677,25.7527,10.1235,308.421,10.08053,307.112,100.426,,2208.7,2042.4,8.112,320.112,321.42,1904.8,121.1,16.5,60.5,1.2,0,0,13.23,2.91,1.83
113,NYOS1902,6.4,2/11/19 23:20,41.5,-73.13816667,39.67433333,30.418,30.183,5.8667,32.7241,-2.623,0.4999,6.12E+03,1025.9115,5.8643,25.771,10.0061,304.838,10.05498,306.3281,99.514,,2208.3,2042.7,8.108,323.393,324.71,1905.6,120.6,16.6,60.3,1.2,0,0,13.25,2.90,1.82
114,NYOS1902,6.4,2/11/19 23:20,41.5,-73.13816667,39.67433333,38.507,38.21,5.9031,32.7689,-3.086,0.471,5.06E-11,1025.9799,5.9,25.8021,10.0246,305.395,10.04342,305.96664,99.813,,2210.0,2047.9,8.098,331.920,333.27,1912.3,118.6,17.0,59.4,1.1,0,0,13.39,2.84,1.79
115,NYOS1902,6.4,2/11/19 23:20,41.5,-73.13816667,39.67433333,38.507,38.21,5.9031,32.7689,-3.086,0.471,5.06E-11,1025.9799,5.9,25.8021,10.0246,305.395,10.04342,305.96664,99.813,,2212.1,,,,,,,,,,,,,,
116,NYOS1902,6.3,2/12/19 3:23,66.4,-73.25016667,39.966,2.2,2.183,5.5857,32.6238,-3.098,0.4302,5.06E-11,1025.7352,5.5856,25.725,10.0402,305.892,10.12851,308.58217,99.128,,2201.1,2047.2,8.086,342.210,343.61,1916.0,113.5,17.7,57.0,1.1,0,0,13.71,2.74,1.72
117,NYOS1902,6.3,2/12/19 3:23,66.4,-73.25016667,39.966,11.148,11.063,5.5928,32.6236,-3.097,0.4506,1.22E+04,1025.7757,5.592,25.7241,10.0302,305.586,10.12683,308.53115,99.045,,2203.0,2050.9,8.081,346.858,348.28,1920.4,112.5,18.0,56.5,1.1,0,0,13.79,2.71,1.71
118,NYOS1902,6.3,2/12/19 3:23,66.4,-73.25016667,39.966,23.875,23.691,6.3885,32.925,-3.069,0.4202,5.06E-11,1025.9747,6.3865,25.8648,9.8326,299.525,9.91987,302.18438,99.12,,2217.6,2063.8,8.066,362.196,363.66,1931.6,114.0,18.2,56.8,1.1,0,0,13.73,2.74,1.73
119,NYOS1902,6.3,2/12/19 3:23,66.4,-73.25016667,39.966,36.962,36.675,6.9449,33.1082,-3.049,0.2007,5.06E-11,1026.1062,6.9416,25.9366,9.4588,288.12,9.78117,297.93838,96.705,,2227.4,2070.5,8.062,367.811,369.29,1936.1,116.3,18.1,57.6,1.2,0,0,13.61,2.78,1.76
120,NYOS1902,6.3,2/12/19 3:23,66.4,-73.25016667,39.966,50.173,49.783,6.9444,33.116,-3.049,0.2624,5.06E-11,1026.1731,6.9399,25.9429,9.5132,289.774,9.78077,297.92423,97.265,,2228.8,2071.3,8.062,366.717,368.19,1936.6,116.6,18.0,57.8,1.2,0,0,13.59,2.78,1.76
121,NYOS1902,6.3,2/12/19 3:23,66.4,-73.25016667,39.966,64.271,63.769,6.9554,33.1197,-3.048,0.2124,5.06E-11,1026.2393,6.9496,25.9445,9.4939,289.186,9.77806,297.84116,97.094,,2229.3,2103.6,7.977,456.278,458.11,1982.9,98.3,22.4,48.9,1.0,0,0,14.95,2.34,1.48
122,NYOS1902,6.2,2/12/19 6:40,36.6,-73.351,40.16333333,2.398,2.379,4.5621,31.6404,-3.135,0.3509,5.06E-11,1025.07,4.5619,25.0588,10.5095,320.398,10.44763,318.51138,100.592,,2177.7,2030.3,8.101,326.798,328.15,1903.4,109.3,17.7,54.8,1.0,0,0,13.99,2.65,1.66
123,NYOS1902,6.2,2/12/19 6:40,36.6,-73.351,40.16333333,2.398,2.379,4.5621,31.6404,-3.135,0.3509,5.06E-11,1025.07,4.5619,25.0588,10.5095,320.398,10.44763,318.51138,100.592,,2176.7,2030.2,8.099,328.713,330.08,1903.8,108.7,17.8,54.6,1.0,0,0,14.03,2.64,1.65
124,NYOS1902,6.2,2/12/19 6:40,36.6,-73.351,40.16333333,5.412,5.371,4.5603,31.6419,-3.135,0.4002,5.06E-11,1025.0854,4.56,25.0602,10.488,319.743,10.44796,318.52121,100.384,,2176.7,2030.0,8.099,328.165,329.53,1903.4,108.8,17.7,54.7,1.0,0,0,14.02,2.64,1.66
125,NYOS1902,6.2,2/12/19 6:40,36.6,-73.351,40.16333333,12.727,12.628,4.6142,31.7227,-3.133,0.3848,5.06E-11,1025.1781,4.6133,25.1188,10.4756,319.346,10.42873,317.91677,100.45,,2178.7,2028.6,8.106,322.672,324.01,1900.5,110.8,17.4,55.7,1.0,0,0,13.88,2.68,1.68
126,NYOS1902,6.2,2/12/19 6:40,36.6,-73.351,40.16333333,19.664,19.512,4.9837,31.9277,-3.119,0.3701,5.06E-11,1025.3335,4.9823,25.2421,10.1669,309.896,10.3224,314.63747,98.493,,2183.7,2041.8,8.074,350.203,351.65,1917.0,106.2,18.6,53.4,1.0,0,0,14.22,2.57,1.61
127,NYOS1902,6.2,2/12/19 6:40,36.6,-73.351,40.16333333,25.946,25.745,5.1669,32.0166,-3.113,0.2584,5.06E-11,1025.4129,5.165,25.2925,9.959,303.546,10.27123,313.06229,96.96,,2189.6,2055.3,8.049,375.041,376.59,1933.6,102.0,19.8,51.2,0.9,0,0,14.57,2.46,1.54
128,NYOS1902,6.2,2/12/19 6:40,36.6,-73.351,40.16333333,33.911,33.648,6.287,32.7359,-2.676,0.6103,5.06E-11,1025.8848,6.2842,25.7286,9.259,282.09,9.95579,303.3187,93.001,,2207.1,2069.1,8.030,396.134,397.74,1944.5,104.7,20.0,52.4,1.0,0,0,14.38,2.51,1.58
