SN,CruiseID,Station,Time [UTC],Bottom Depth [m],Lon,Lat,Pressure (db),Depth [m],Temp [°C],Salinity,pH,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma-Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,,TA,DIC,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out
1,NYOS1905,LIS_ARIG,5/29/19 15:36,16,-73.579,40.96183333,14.898,14.782,11.3886,24.8765,7.938,2.3565,2.62E-02,1018.9116,11.3869,18.8438,7.3295,224.814,9.34009,286.48349,78.474,,1857.9,1777.1,7.914,489.7,491.6,1686.2,69.1,21.8,32.3,1.1,0.0,0.0,16.655,1.74,1.07
2,NYOS1905,LIS_ARIG,5/29/19 15:36,16,-73.579,40.96183333,7.538,7.479,15.2547,23.8534,8.054,3.0356,8.31E-01,1017.381,15.2537,17.3473,9.6498,296.418,8.66707,266.23142,111.339,,1827.1,1689.3,8.066,334.0,335.2,1572.7,103.3,13.2,45.4,2.3,0.0,0.0,13.307,2.64,1.63
3,NYOS1905,LIS_ARIG,5/29/19 15:36,16,-73.579,40.96183333,1.699,1.686,15.5213,23.8239,8.123,3.0632,2.24E+01,1017.278,15.521,17.2704,9.5395,293.052,8.62191,264.86399,110.643,,1822.0,1673.7,8.094,309.6,310.7,1551.8,109.8,12.2,48.2,2.5,0.0,0.0,12.802,2.80,1.74
4,NYOS1905,LIS_WLIS,5/29/19 16:54,18,-73.72983333,40.88016667,14.338,14.226,11.8235,24.5601,7.902,2.0284,1.11E-13,1018.5917,11.8219,18.5266,7.0182,215.332,9.27124,284.46015,75.699,,1855.2,1798.3,7.819,623.0,625.4,1714.0,56.9,27.3,26.4,0.9,0.0,0.0,18.073,1.44,0.89
5,NYOS1905,LIS_WLIS,5/29/19 16:54,18,-73.72983333,40.88016667,7.703,7.643,14.9311,23.5063,8.069,4.821,1.09E-01,1017.1801,14.93,17.1456,9.9031,304.26,8.7431,268.62005,113.268,,1829.2,1713.6,8.007,391.8,393.2,1607.8,90.1,15.7,39.3,1.9,0.0,0.0,14.484,2.30,1.42
6,NYOS1905,LIS_WLIS,5/29/19 16:54,18,-73.72983333,40.88016667,1.791,1.777,15.6784,23.0675,8.329,7.7394,1.69E+01,1016.6668,15.6781,16.6588,12.6748,389.604,8.63438,265.40681,146.795,,1801.0,1576.1,8.306,174.3,174.9,1409.6,159.6,6.8,68.0,4.1,0.0,0.0,10.161,4.10,2.53
7,NYOS1905,6.15,5/30/19 2:45,28,-73.3915,40.34583333,2.324,2.306,15.6527,28.6572,8.112,0.8019,1.78E-01,1020.9606,15.6523,20.9503,8.6411,264.497,8.34869,255.54641,103.502,,2026.6,1839.2,8.089,330.2,331.4,1690.8,135.8,12.6,61.4,2.8,0.0,0.0,11.831,3.37,2.13
8,NYOS1905,6.15,5/30/19 2:45,28,-73.3915,40.34583333,8.744,8.677,14.7545,29.0189,8.093,0.8508,8.16E+03,1021.4564,14.7533,21.4174,8.8607,271.096,8.48195,259.50667,104.466,,2040.2,1862.4,8.072,346.0,347.2,1719.3,129.6,13.5,59.3,2.5,0.0,0.0,12.210,3.20,2.03
9,NYOS1905,6.15,5/30/19 2:45,28,-73.3915,40.34583333,23.209,23.03,10.1426,31.6506,8.04,0.4212,2.53E-11,1024.4197,10.14,24.3147,9.2519,282.264,9.19163,280.42417,100.656,,2143.9,1975.3,8.070,353.6,355.0,1836.4,123.1,15.7,59.6,1.6,0.0,0.0,12.876,2.98,1.88
10,NYOS1905,6.3,5/30/19 8:25,45,-73.19683333,39.82233333,,7,15.8,32.23594504,8,,,,,,,,,,,,2183.6,1999.9,8.006,428.9,430.4,1848.6,135.4,15.9,61.8,2.5,0.0,0.0,12.310,3.28,2.10
