SN,CruiseID,Station,Time [UTC],Bottom Depth [m],Lon,Lat,Pressure (db),Depth [m],Temp [°C],Salinity,pH,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma-Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,,TA,DIC,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,,
96,NYOS1907,5.6,7/27/19 0:17,1000,-72.55,39.02,221.597,219.801,12.5049,35.5928,8.019,-0.0296,1.63E+04,1027.9407,12.475,26.9572,4.3924,133.663,8.5259,259.44409,51.519,,2340.5,2180.9,7.932,530.5,532.4,2037.9,121.7,21.4,57.7,1.6,0.0,0.0,13.558,2.78,1.78,,
95,NYOS1907,5.6,7/27/19 0:17,1000,-72.55,39.02,341.696,338.828,9.7037,35.2497,7.944,-0.0306,1.43E+04,1028.7395,9.6644,27.2042,4.2909,130.541,9.06816,275.87883,47.318,,2323.4,2190.3,7.910,546.3,548.4,2061.3,104.8,24.2,51.4,1.2,0.0,0.0,14.662,2.34,1.49,,
94,NYOS1907,5.6,7/27/19 0:17,1000,-72.55,39.02,460.064,456.073,7.449,35.1162,7.946,-0.0475,2.53E-11,1029.5417,7.4034,27.4532,5.5193,167.872,9.54248,290.23865,57.839,,2318.6,2186.3,7.940,494.2,496.2,2059.6,103.0,23.6,51.9,1.0,0.0,0.0,14.787,2.25,1.43,,
93,NYOS1907,5.6,7/27/19 0:17,1000,-72.55,39.02,589.434,584.139,5.9902,35.0593,7.947,-0.0333,2.53E-11,1030.3005,5.9378,27.6076,6.6844,203.278,9.8717,300.20697,67.713,,2316.0,2176.1,7.979,438.0,439.8,2047.7,106.3,22.0,54.7,0.9,0.0,0.0,14.522,2.26,1.44,,
105,NYOS1907,5.5,7/27/19 4:34,113,-72.67,39.33,2.07,2.054,24.5946,31.552,8.197,0.0073,4.08E+04,1020.8677,24.5941,20.8588,6.9189,211.8,6.95391,212.87247,99.496,,2135.1,1923.9,7.953,490.1,491.6,1754.9,154.7,14.3,66.0,4.9,0.0,0.0,11.153,3.82,2.50,,
104,NYOS1907,5.5,7/27/19 4:34,113,-72.67,39.33,21.396,21.232,20.7114,31.7837,8.181,0.0786,2.53E-11,1022.2174,20.7074,22.1248,8.0854,247.203,7.43996,227.46901,108.684,,2160.7,1958.6,7.983,455.1,456.7,1795.7,148.2,14.7,64.9,3.7,0.0,0.0,11.570,3.62,2.34,,
103,NYOS1907,5.5,7/27/19 4:34,113,-72.67,39.33,40.45,40.138,8.1976,32.6595,8.091,1.3883,2.53E-11,1025.5923,8.1936,25.4079,9.2495,281.889,9.53412,290.56272,97.015,,2211.5,2067.8,8.015,414.7,416.4,1939.3,108.9,19.6,53.3,1.2,0.0,0.0,14.091,2.61,1.65,,
102,NYOS1907,5.5,7/27/19 4:34,113,-72.67,39.33,63.007,62.518,7.7335,33.0531,8.017,0.0322,2.53E-11,1026.0722,7.7275,25.7844,8.0864,246.352,9.60996,292.76654,84.146,,2230.5,2105.9,7.962,475.5,477.4,1985.1,98.0,22.8,48.3,1.0,0.0,0.0,14.982,2.33,1.47,,
101,NYOS1907,5.5,7/27/19 4:34,113,-72.67,39.33,83.976,83.32,9.2939,33.5846,8.040,-0.0154,6.12E+03,1026.3446,9.2849,25.9644,7.5245,229.192,9.24853,281.70639,81.359,,2260.8,2105.6,8.009,427.7,429.3,1969.4,116.8,19.4,56.5,1.3,0.0,0.0,13.694,2.76,1.75,,
100,NYOS1907,5.5,7/27/19 4:34,113,-72.67,39.33,108.781,107.925,13.1045,35.0688,8.068,-0.0184,1.02E+04,1026.9106,13.0895,26.4282,6.0257,183.456,8.44888,257.23294,71.319,,2320.5,2126.5,8.014,431.0,432.6,1967.0,142.4,17.1,66.7,2.1,0.0,0.0,12.338,3.33,2.13,,
112,NYOS1907,5.4,7/27/19 7:19,66,-72.78,39.64,2.05,2.034,24.7758,31.421,8.185,0.0112,3.47E+04,1020.7149,24.7754,20.7062,6.84,209.418,6.93743,212.39967,98.596,,2136.6,1915.2,7.973,464.5,466.0,1740.4,161.3,13.5,68.5,5.2,0.0,0.0,10.892,3.99,2.61,,
111,NYOS1907,5.4,7/27/19 7:19,66,-72.78,39.64,11.046,10.962,22.5481,31.6454,8.168,0.0409,3.06E+04,1021.5671,22.5459,21.5196,7.4594,228.2,7.20358,220.37266,103.552,,2157.7,1941.3,7.989,448.2,449.7,1769.6,157.9,13.8,67.9,4.4,0.0,0.0,11.127,3.88,2.52,,
110,NYOS1907,5.4,7/27/19 7:19,66,-72.78,39.64,23.519,23.338,12.0372,32.9719,8.181,0.1393,2.53E-11,1025.1131,12.0342,25.0078,9.5974,292.606,8.75262,266.84996,109.652,,2220.1,2030.3,8.063,370.0,371.4,1876.8,138.1,15.4,65.1,2.0,0.0,0.0,12.278,3.32,2.11,,
108,NYOS1907,5.4,7/27/19 7:19,66,-72.78,39.64,37.201,36.914,7.1958,32.746,8.038,0.7892,3.88E+04,1025.788,7.1924,25.6175,8.561,260.853,9.74813,297.02431,87.822,,2215.0,2093.8,7.968,467.3,469.2,1975.3,95.7,22.8,47.4,1.0,0.0,0.0,15.130,2.29,1.45,,
109,NYOS1907,5.4,7/27/19 7:19,66,-72.78,39.64,37.201,36.914,7.1958,32.746,8.038,0.7892,3.88E+04,1025.788,7.1924,25.6175,8.561,260.853,9.74813,297.02431,87.822,,2215.3,2096.1,7.962,473.9,475.8,1978.2,94.6,23.2,46.9,1.0,0.0,0.0,15.219,2.27,1.43,,
107,NYOS1907,5.4,7/27/19 7:19,66,-72.78,39.64,50.029,49.641,6.6735,32.8234,7.945,0.0943,2.53E-11,1025.9782,6.6692,25.7482,7.5194,229.086,9.86109,300.4279,76.253,,2215.2,2124.2,7.885,574.0,576.3,2016.4,79.2,28.6,39.6,0.8,0.0,0.0,16.568,1.89,1.19,,
106,NYOS1907,5.4,7/27/19 7:19,66,-72.78,39.64,64.735,64.231,6.7595,32.8438,7.940,0.0718,2.53E-11,1026.0506,6.7539,25.7532,7.48,227.886,9.84017,299.78916,76.015,,2216.4,2116.8,7.909,539.8,542.0,2006.3,83.8,26.8,41.8,0.8,0.0,0.0,16.160,2.00,1.26,,
118,NYOS1907,5.2,7/27/19 13:06,40,-73.01,40.27,1.723,1.71,23.5661,31.2815,8.189,0.0117,5.29E+01,1020.9621,23.5658,20.9547,7.1495,218.839,7.09032,217.02787,100.835571,,2123.1,1912.0,7.973,462.6,464.1,1744.1,154.1,13.9,66.3,4.6,0.0,0.0,11.155,3.81,2.48,,
117,NYOS1907,5.2,7/27/19 13:06,40,-73.01,40.27,6.161,6.114,22.8234,31.272,8.172,0.0868,1.97E+01,1021.1857,22.8222,21.1592,7.3499,224.927,7.18404,219.85245,102.312367,,2131.2,1920.7,7.981,453.7,455.2,1753.1,153.7,13.9,66.2,4.4,0.0,0.0,11.213,3.79,2.46,,
116,NYOS1907,5.2,7/27/19 13:06,40,-73.01,40.27,14.109,14,12.0821,32.2358,8.184,0.4359,6.64E+00,1024.4912,12.0803,24.428,10.1113,308.449,8.785,267.98859,115.098898,,2188.2,2008.8,8.052,377.8,379.2,1861.7,131.4,15.7,61.9,1.9,0.0,0.0,12.559,3.17,2.02,,
115,NYOS1907,5.2,7/27/19 13:06,40,-73.01,40.27,22.443,22.269,8.8514,32.4248,7.999,1.3506,1.43E+00,1025.2275,8.8491,25.1254,7.734,235.766,9.40986,286.85492,82.1265918,,2201.1,2085.3,7.932,513.1,515.1,1968.4,93.2,23.7,45.4,1.1,0.0,0.0,15.293,2.24,1.42,,
114,NYOS1907,5.2,7/27/19 13:06,40,-73.01,40.27,31.039,30.798,8.4356,32.4703,7.881,0.3798,3.32E-01,1025.3656,8.4325,25.2241,6.5021,198.195,9.49493,289.42046,68.478551,,2204.8,2117.4,7.852,627.7,630.1,2010.0,77.9,29.5,38.2,0.8,0.0,0.0,16.650,1.87,1.18,,
113,NYOS1907,5.2,7/27/19 13:06,40,-73.01,40.27,38.415,38.116,8.3316,32.4886,7.887,0.3828,1.02E-01,1025.4292,8.3278,25.254,6.569,200.228,9.516,290.05401,69.0277143,,2203.4,2115.5,7.855,622.3,624.8,2008.2,78.0,29.3,38.3,0.8,0.0,0.0,16.630,1.87,1.18,,
120,NYOS1907,6.1,7/27/19 18:26,18.9,-73.45,40.51,1.955,1.94,24.0154,30.2799,8.150,0.3148,4.69E+01,1020.0766,24.015,20.0682,8.1519,249.739,7.07552,216.76306,115.213429,,2057.7,1858.2,7.964,463.4,464.9,1698.7,145.7,13.8,62.9,4.6,0.0,0.0,11.301,3.63,2.36,,
119,NYOS1907,6.1,7/27/19 18:26,18.9,-73.45,40.51,16.051,15.926,17.6793,30.735,8.014,2.38,1.48E+00,1022.1561,17.6767,22.0857,7.4502,227.792,7.92345,242.26085,94.0213265,,2082.9,1943.4,7.899,549.6,551.5,1816.4,107.6,19.5,49.1,2.3,0.0,0.0,13.647,2.64,1.69,,
123,NYOS1907,6.3,7/28/19 0:59,43,-73.20,39.82,2.15,2.134,24.5128,31.0848,8.143,0.0441,5.42E+00,1020.5395,24.5124,20.5303,7.0696,216.484,6.98238,213.81271,101.249,,2120.5,1898.9,7.984,448.5,450.0,1724.6,161.1,13.2,68.5,5.2,0.0,0.0,10.856,4.00,2.61,,
122,NYOS1907,6.3,7/28/19 0:59,43,-73.20,39.82,10.846,10.763,21.0989,31.1953,8.123,0.1189,2.53E-11,1021.6214,21.0969,21.5744,7.786,238.178,7.413,226.76721,105.032,,2138.3,1964.0,7.924,529.6,531.3,1816.1,131.0,17.0,57.0,3.3,0.0,0.0,12.390,3.22,2.08,,
121,NYOS1907,6.3,7/28/19 0:59,43,-73.20,39.82,42.053,41.727,7.8363,32.4735,7.855,0.3073,6.12E+03,1025.5064,7.8323,25.3142,6.2383,190.135,9.62395,293.32743,64.82,,2197.6,2106.8,7.872,592.8,595.1,1999.1,79.2,28.4,39.2,0.8,0.0,0.0,16.503,1.90,1.20,,
125,NYOS1907,6.4,7/28/19 4:03,65,-73.07,39.48,1.734,1.721,25.0554,30.7183,8.159,0.0967,4.29E+00,1020.1002,25.055,20.0928,6.8897,211.064,6.93191,212.35837,99.391,,2103.5,1892.8,7.960,476.4,477.9,1724.9,154.1,13.8,65.2,5.1,0.0,0.0,11.095,3.84,2.51,,
124,NYOS1907,6.4,7/28/19 4:03,65,-73.07,39.48,64.084,63.587,6.6259,32.7607,7.911,0.1296,2.51E-11,1025.9997,6.6203,25.7051,7.2573,221.109,9.87607,300.89679,73.483,,2211.6,2104.0,7.936,502.7,504.7,1991.1,87.9,25.1,43.9,0.9,0.0,0.0,15.781,2.09,1.32,,
127,NYOS1907,6.5,7/28/19 8:49,79,-72.94,39.13,1.943,1.928,25.8877,30.8266,8.160,0.027,1.01E+01,1019.931,25.8873,19.9228,6.723,205.992,6.8299,209.26823,98.434,,2113.0,1886.5,7.979,454.5,455.9,1709.0,164.6,12.9,69.1,5.7,0.0,0.0,10.692,4.10,2.69,,
126,NYOS1907,6.5,7/28/19 8:49,79,-72.94,39.13,77.598,76.995,9.0114,33.4907,8.003,0.0212,4.29E+04,1026.2877,9.0032,25.9358,7.4774,227.764,9.31206,283.64934,80.298,,2243.4,2098.2,7.991,444.6,446.3,1967.4,110.4,20.3,53.9,1.3,0.0,0.0,14.054,2.62,1.66,,
132,NYOS1907,6.6,7/28/19 13:38,590,-72.82,38.79,2.359,2.341,25.7563,35.0574,8.280,-0.0595,7.12E+00,1023.1625,25.7558,23.1525,6.5411,199.786,6.68277,204.11376,97.88,,2323.1,2022.0,8.032,415.0,416.3,1795.2,215.3,11.6,90.5,6.9,0.0,0.0,9.620,5.18,3.43,,
131,NYOS1907,6.6,7/28/19 13:38,590,-72.82,38.79,9.829,9.754,25.6966,35.055,8.286,-0.044,5.46E+00,1023.2114,25.6945,23.1697,6.5382,199.695,6.68958,204.31835,97.737,,2324.3,2018.8,8.039,405.9,407.2,1789.4,218.1,11.3,91.7,7.0,0.0,0.0,9.551,5.25,3.47,,
130,NYOS1907,6.6,7/28/19 13:38,590,-72.82,38.79,19.889,19.737,25.6083,35.0917,8.286,-0.0276,1.16E+01,1023.3097,25.6039,23.2255,6.6198,202.175,6.69816,204.56908,98.83,,2327.7,2026.7,8.032,414.6,415.9,1799.8,215.3,11.6,90.5,6.9,0.0,0.0,9.634,5.17,3.42,,
129,NYOS1907,6.6,7/28/19 13:38,590,-72.82,38.79,51.13,50.737,16.1857,35.2277,8.222,0.6696,7.22E-01,1026.1059,16.1776,25.882,7.0041,213.36,7.93656,241.7637,88.252,,2332.8,2098.3,8.049,397.7,399.1,1914.8,169.2,14.4,76.7,3.0,0.0,0.0,11.171,3.99,2.57,,
128,NYOS1907,6.6,7/28/19 13:38,590,-72.82,38.79,596.526,591.169,5.8252,35.0519,7.981,-0.044,4.93E-14,1030.3501,5.7729,27.6226,6.8479,208.247,9.91029,301.37605,69.099,,2308.2,2172.4,7.971,444.2,446.1,2046.1,103.8,22.5,53.7,0.9,0.0,0.0,14.675,2.20,1.40,,
136,NYOS1907,7.6,7/28/19 17:20,1500,-73.07,38.53,1.484,1.473,26.128,34.9114,8.270,-0.0727,7.24E+01,1022.9329,26.1277,22.9267,6.5608,200.434,6.64668,203.05622,98.709,,2309.5,2016.0,8.017,429.8,431.2,1793.9,210.2,11.9,88.3,6.9,0.0,0.0,9.713,5.07,3.35,,
135,NYOS1907,7.6,7/28/19 17:20,1500,-73.07,38.53,20.09,19.937,25.2279,35.1519,8.266,-0.0229,2.17E+01,1023.4731,25.2235,23.3879,6.8781,210.03,6.73907,205.78595,102.062,,2304.9,2030.2,7.995,455.7,457.2,1819.9,197.4,12.9,84.1,6.1,0.0,0.0,10.053,4.73,3.12,,
134,NYOS1907,7.6,7/28/19 17:20,1500,-73.07,38.53,51.611,51.216,16.0594,35.3385,8.185,0.6589,7.37E-01,1026.2224,16.0513,25.9963,6.5688,200.075,7.95074,242.16869,82.618,,2333.0,2113.5,8.020,430.1,431.7,1938.2,159.7,15.6,72.6,2.8,0.0,0.0,11.557,3.77,2.43,,
133,NYOS1907,7.6,7/28/19 17:20,1500,-73.07,38.53,601.783,596.384,5.7137,35.0498,7.962,-0.0438,4.98E-14,1030.388,5.6615,27.635,6.9834,212.366,9.9363,302.1634,70.282,,2309.0,2171.2,7.978,436.3,438.1,2044.1,104.9,22.2,54.3,0.9,0.0,0.0,14.596,2.22,1.42,,
