year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,DpDt,Dp,u,v,uv,precip,precipArea
2005,12,26,12,38710.5,0,0,651.0,412,160,42.377046036971855,14.743562836470735,,,0,0.0,,8.102821676201211,,0,0,0,0,0,0,0,,,,,,0.0,0.0
2005,12,26,15,38710.625,1,1,657.0,395,157,42.55017209659333,9.943403013329684,1004.7660526307529,1006.7660526307529,138750,210.15588668414918,2.0,8.384257722912595,7.161484471193251,1,1,3,0,0,3,0,,,-131.05192655066605,6.416913166623936,131.2089334886507,0.07694334620399175,107.0
2005,12,26,18,38710.75,1,1,657.0,397,158,42.70459326754437,10.542379432764193,1004.1873458299858,1006.1873458299858,136875,208.7310845835051,2.0,8.975507795624255,6.790825804337583,1,1,0,0,0,0,0,-5.91166096107476,-0.5787068007671041,16.31463176533355,5.7236169254225615,17.289505497480665,1.5305758736215762,1179.0
2005,12,26,21,38710.875,1,1,657.0,392,163,44.122988016493416,9.39138236043742,1003.3773884228959,1007.3773884228959,462500,383.69039909802694,4.0,9.040316698996163,6.01154823712488,1,1,0,0,0,0,0,-8.060244978618352,-0.8099574070899689,-30.62430941988372,52.57276668747212,60.841960229928134,1.3152557016175956,1056.0
2005,12,27,0,38711.0,1,1,657.0,393,163,44.082526274558965,9.67496536186198,1001.9979265497873,1005.9979265497873,396875,355.428243221036,4.0,9.79583449464435,7.965891151652832,1,1,0,0,0,0,0,-13.737642670371093,-1.3794618731086665,7.55045009513834,-1.499713475437341,7.697950191290076,1.5178116754543165,1212.0
2005,12,27,3,38711.125,2,2,657.0,392,163,44.122988016493416,9.39138236043742,1001.3105172992202,1003.3105172992202,201250,253.1005029518667,2.0,9.757898900113586,7.01767803700408,1,2,0,0,0,1,0,-6.840713982782303,-0.6874092505669978,-7.545284236985706,1.499713475437341,7.69288338175702,1.1876276887697377,810.0
2005,12,27,6,38711.25,2,2,657.0,386,160,43.61368418150634,7.566423482753306,1000.7026761253787,1002.7026761253787,203750,254.66770370415514,2.0,9.988776249011027,3.605620078536012,1,2,0,0,0,0,0,-6.1050929090118125,-0.6078411738414434,-48.97234630920502,-18.87733419039319,52.484706812218114,0.9929829256358501,635.0
2005,12,27,9,38711.375,2,2,657.0,391,164,44.40329317809459,9.153132542823814,1001.2640023089803,1003.2640023089803,165000,229.17489221187702,2.0,10.170013467620251,8.832792940670842,1,1,0,0,0,0,1,5.55803543737964,0.5613261836014862,42.0160678394869,29.26683815117145,51.204470235119416,0.1152928557507702,157.0
2005,12,27,12,38711.5,2,2,657.0,383,161,43.94785033391868,6.751701318436936,999.4953212601276,1009.4953212601276,2773750,939.6339961933526,10.0,10.924360034534791,9.409048458256512,1,2,0,0,0,0,2,-17.6566607730309,-1.7686810488525953,-64.08170029943633,-16.880977882976772,66.26787855026242,2.565284808277921,1830.0
2005,12,27,15,38711.625,1,1,657.0,390,160,43.47519028374963,8.69220128819752,998.7951984062928,1008.7951984062928,2733125,932.7275634803943,10.0,11.15572646827838,2.8971971211898198,1,1,0,0,0,0,0,-7.049866992265922,-0.7001228538349096,52.192502184417286,-17.519133202120347,55.05431238716944,2.542811878004753,1717.0
2005,12,27,18,38711.75,1,1,657.0,396,148,40.318456920608185,9.79147856110341,998.5518146173016,1010.5518146173016,3231250,1014.1690291718504,12.0,12.533158813084603,9.8838928598442,1,1,0,0,0,0,0,-2.6060587747577695,-0.24338378899119562,31.065990661915972,-117.00424491698129,121.05820544018977,3.130894690773227,2249.0
2005,12,27,21,38711.875,1,1,657.0,396,148,40.318456920608185,9.79147856110341,,,0,0.0,,12.533158813084603,,0,0,0,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
