"","YEAR","wt_mean_temp"
"1",1963,8.23175238237408
"2",1964,9.28237768534295
"3",1965,8.29230760579163
"4",1966,8.47805284425607
"5",1967,8.01871235354267
"6",1968,8.53531747377891
"7",1969,8.88721781121227
"8",1970,8.38378632165292
"9",1971,9.21054126582762
"10",1972,8.70005700949234
"11",1973,10.8526562536852
"12",1974,10.427787341668
"13",1975,10.0858798482174
"14",1976,10.4603708117693
"15",1977,9.96030158948858
"16",1978,10.2919589213187
"17",1979,10.3139143225248
"18",1980,10.0315456010035
"19",1981,10.5700083176218
"20",1982,10.7997639329215
"21",1983,10.5026864615863
"22",1984,11.947822736898
"23",1985,11.4603480523443
"24",1986,11.6614450560411
"25",1987,9.72447450753882
"26",1988,11.8406425770938
"27",1989,9.92077146382711
"28",1990,11.342485956374
"29",1991,9.36433151232476
"30",1992,10.1683625304562
"31",1993,12.4476488807084
"32",1994,12.9154774180108
"33",1995,10.6893734357623
"34",1996,10.866998030053
"35",1997,9.58374549443782
"36",1998,9.6356812760467
"37",1999,10.9130852348902
"38",2000,10.4285996204194
"39",2001,11.0423264782407
"40",2002,9.49203185455952
"41",2003,8.25161312264656
"42",2004,10.5583371628907
"43",2005,8.16464235256537
"44",2006,10.8762395369758
"45",2007,10.4274281447827
"46",2008,10.701591944355
"47",2009,11.1019986447082
"48",2010,11.5269369148063
"49",2011,9.43007013252337
"50",2012,9.91759874757799
"51",2013,8.45761380723822
"52",2014,12.1307134784732
"53",2015,12.2539630850342
"54",2016,11.2083727952965
"55",2018,11.9063206398814
"56",2019,11.4239638632869
