YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 29 10   3  4.0  5.4  1.00  5.88  4.88  77 1018.6   2.4   6.7    .9 99.0
1999 01 29 11 348  4.9  6.4  1.01  5.88  5.09  77 1019.8   2.7   6.7   1.0 99.0
1999 01 29 12 350  5.3  6.6 99.00 99.00 99.00 999 1020.3   2.6   6.7    .8 99.0
1999 01 29 13 352  5.2  6.0   .89  5.88  4.75  82 1021.1   2.2   6.7    .3 99.0
1999 01 29 14 349  6.1  7.0   .90  5.88  4.75  84 1022.4   1.5   6.7   -.2 99.0
1999 01 29 15 357  7.8  9.5   .87  5.88  4.55  91 1023.8   1.3   6.7  -1.7 99.0
1999 01 29 16 354  8.5 10.1   .94  5.56  4.15  84 1024.3    .9   6.7  -3.1 99.0
1999 01 29 17 341  7.9 10.2   .96  5.56  4.14  81 1025.1   1.0   6.7  -2.9 99.0
1999 01 29 18 343 10.0 12.7  1.12  3.85  4.11  16 1025.7   1.2   6.7  -3.3 99.0
1999 01 29 19 340  9.0 11.3  1.22  3.85  4.19   1 1025.8   1.2   6.6  -3.9 99.0
1999 01 29 20 340  9.1 11.7  1.29  4.35  4.33   0 1026.7   1.3   6.7  -5.4 99.0
1999 01 29 21 343  8.2  9.5  1.36  4.55  4.36   1 1027.4    .9   6.7  -5.6 99.0
1999 01 29 22 352  7.2  9.4  1.29  4.55  4.36 354 1027.9    .5   6.7  -6.4 99.0
1999 01 29 23 354  6.5  8.3  1.15  4.35  4.29   2 1028.2    .4   6.7 999.0 99.0
1999 01 30 00 354  6.8  8.2   .94  4.00  4.23   2 1028.8    .5   6.6  -7.3 99.0
1999 01 30 01  27  5.4  7.2   .85  3.70  4.03 358 1028.8    .4   6.6  -7.4 99.0
1999 01 30 02 360  5.3  7.0   .72  5.00  4.01  69 1029.0    .1   6.6  -7.6 99.0
1999 01 30 03 360  5.2  6.7   .66  5.88  4.05  91 1029.1    .3   6.6  -7.3 99.0
1999 01 30 04 350  6.0  7.3   .61  6.25  3.99  93 1029.7    .0   6.6  -6.9 99.0
1999 01 30 05 341  5.0  6.8   .61  5.88  3.89  78 1029.3   -.4   6.4  -7.3 99.0
1999 01 30 06 347  3.7  5.5   .61  5.88  3.97  74 1028.8   -.7   6.4  -7.5 99.0
1999 01 30 07 339  4.8  6.6   .58  5.56  4.06  80 1028.9   -.6   6.3  -6.9 99.0
1999 01 30 08 333  5.6  7.6   .64  5.56  4.28  81 1029.3  -1.0   6.3  -7.1 99.0
1999 01 30 09 338  6.1  8.2   .79  5.88  3.92  75 1029.6  -1.8   6.4  -6.6 99.0
1999 01 30 10 342  7.1  9.6   .80  5.56  4.10  71 1029.4  -1.8   6.4  -7.8 99.0
1999 01 30 11 357  6.9  8.6   .77  5.88  3.88  87 1029.7  -1.9   6.4  -8.2 99.0
1999 01 30 12 347  8.3 10.3   .78  3.33  3.99 357 1030.3  -2.1   6.4  -7.1 99.0
1999 01 30 13 342  7.1  9.6   .87  3.45  3.84 359 1030.5  -1.9   6.4  -7.0 99.0
1999 01 30 14 349  7.4  9.3   .87  3.57  3.88   0 1030.7  -1.6   6.4  -7.3 99.0
1999 01 30 15 347  7.1  9.0   .91  3.45  3.89   1 1031.3  -1.5   6.4  -7.3 99.0
1999 01 30 16 334  6.2  8.2   .83  4.00  4.01  30 1031.3  -1.6   6.4  -7.6 99.0
1999 01 30 17 315  6.1  7.8   .76  3.85  3.92  25 1031.7  -1.5   6.4  -7.4 99.0
1999 01 30 18 318  6.1  8.0   .76  6.67  3.83  95 1030.6   -.7   6.4  -7.1 99.0
1999 01 30 19 337  6.2  8.3   .78  6.25  3.96  96 1030.4    .1   6.6  -7.4 99.0
1999 01 30 20 327  5.9  7.8   .83  3.85  4.01  26 1030.9    .5   6.6  -8.2 99.0
1999 01 30 21 329  4.1  5.5   .76  6.25  4.12  86 1031.1    .9   6.4  -7.4 99.0
1999 01 30 22 316  3.5  5.4   .72  6.67  4.40  90 1031.0   1.6   6.4  -6.7 99.0
1999 01 30 23 343  7.8  9.9   .74  5.88  4.03  82 1031.2   2.1   6.3  -4.7 99.0
1999 01 31 00 353 10.5 12.2   .85  3.45  3.76 353 1032.5    .6   6.4 999.0 99.0
1999 01 31 01 347 11.1 13.3  1.21  4.17  4.03   1 1033.3    .5   6.4  -5.2 99.0
