YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00   6  9.2 11.5  1.69  6.67  4.86  75 1024.2  -1.9   7.1 999.0 99.0
97 01 01 01   2  9.1 12.2  1.69  6.67  4.86  79 1025.3  -1.9   7.0 999.0 99.0
97 01 01 02 360 10.5 13.2  1.77  6.67  4.84  72 1026.6  -2.5   7.1 999.0 99.0
97 01 01 03   6 12.0 14.7  1.87  6.67  4.89  75 1027.7  -3.8   7.1 999.0 99.0
97 01 01 04 355 11.8 14.8  2.15  6.67  5.04  76 1028.3  -4.3   7.1 999.0 99.0
97 01 01 05 354 11.1 13.2  2.21  6.67  5.18  69 1028.3  -4.9   7.1 999.0 99.0
97 01 01 06 358  9.9 12.7  2.11  6.25  5.01  66 1028.6  -5.1   7.1 999.0 99.0
97 01 01 07   4  9.7 12.0  1.73  6.25  4.94  66 1028.9  -5.5   7.1 999.0 99.0
97 01 01 08   6  9.9 12.6  1.65  6.67  4.75  74 1029.0  -6.1   7.1 999.0 99.0
97 01 01 09  10  9.2 11.4  1.70  6.67  4.79  72 1028.9  -6.2   7.1 999.0 99.0
97 01 01 10  12  8.2 10.0  1.65  6.25  4.84  73 1029.6  -6.3   7.1 999.0 99.0
97 01 01 11  24  6.6  9.3 99.00 99.00 99.00 999 1029.9  -6.5   7.1 999.0 99.0
97 01 01 12  24  6.2  8.3  1.25  5.56  4.65  63 1030.4  -6.7   7.1 999.0 99.0
97 01 01 13  22  6.1  9.3  1.18  6.25  4.49  76 1030.4  -6.6   7.0 999.0 99.0
97 01 01 14  26  5.9  8.9  1.17  5.88  4.53  82 1030.5  -6.1   7.1 999.0 99.0
97 01 01 15  30  4.2  6.1  1.14  6.67  4.64  79 1031.2  -5.5   7.1 999.0 99.0
97 01 01 16  38  4.4  6.1  1.13  5.88  4.71  68 1029.7  -4.9   7.1 999.0 99.0
97 01 01 17  49  1.8  3.1  1.06  6.25  4.87  68 1028.2  -4.6   7.1 999.0 99.0
97 01 01 18 100  2.2  4.0   .91  5.88  4.77  72 1026.6  -3.8   7.1 999.0 99.0
97 01 01 19 191   .9  1.7   .81  5.26  4.72  70 1026.3  -3.2   7.1 999.0 99.0
97 01 01 20 176  1.3  2.2   .82  5.88  4.76  67 1026.2  -2.7   7.0 999.0 99.0
97 01 01 21 161  1.2  3.4   .75  5.56  4.88  63 1025.6  -2.0   7.0 999.0 99.0
97 01 01 22 245  2.7  4.7   .74  5.56  4.92  68 1025.3  -1.4   7.0 999.0 99.0
97 01 01 23 178  4.8  6.5   .68  4.76  4.97  68 1024.2   -.7   7.0 999.0 99.0
97 01 02 00 167  3.9  5.5   .62  9.09  4.90 103 1022.7    .0   7.0 999.0 99.0
