YEAR,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,wave,MODE,AREA,STATUS,DOWNLOAD
1981,5,36,8850030000,3,5,13870.328392,192858107.38,0,0,13870.328392,192858107.38,4990.3159769,24953218.909,18860.644369,217811326.29,3241.3237531,10531960.877,1470.2548095,2166953.6945,0,0,7,SHORE,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8857030301,3,1,9433.9593517,35437128.498,8511.796512,48806402.766,17945.755864,144017333.48,1418.632752,1961360.8394,19364.388616,158516893.03,26244.817007,319208988.65,11904.5709,65677332.584,0,0,7,SHORE,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8857030301,3,5,582005.94617,41517301551,19961.263908,395858433,601967.21008,42580942303,34842.745226,42624203.466,636809.9553,42925852895,667267.1078,56450412489,302670.37458,11614687078,0,0,7,SHORE,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8857030401,3,5,9288.3718868,44677849.661,0,0,9288.3718868,44677849.661,36723.923495,545378064.56,46012.295382,571275680.9,7043.7072181,30614925.712,3195.0046349,6299028.9419,0,0,7,SHORE,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8857042001,3,1,36423.324936,532975498.8,1418.632752,1894143.3194,37841.957688,535552898.21,2837.265504,7576573.2774,40679.223192,552072556.94,20794.209157,204522066.99,9432.1913983,42080468.571,0,0,7,SHORE,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8857042001,3,5,4224664.6627,617879542768,1015075.9978,207683935888,5239740.6605,870966022063,4788090.1809,924371724763,10027830.841,2.6428774E12,4487931.3827,639752088843,2035712.3209,131629158965,0,0,7,SHORE,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8861010201,3,5,4623.4427973,21437051.944,7426.9559005,55113834.487,12050.398698,76550886.43,22084.486381,479515356.62,34134.885079,557614071.97,7629.8280424,44029495.804,3460.8672967,9059080.2335,0,0,7,SHORE,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,1000000000,6,1,0,0,8362.8744769,51842643.508,8362.8744769,51842643.508,0,0,8362.8744769,51842643.508,116376.9744,10007494149,52788.249297,2059044528.6,0,0,7,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,1000000000,6,2,78.051680407,6198.9121723,0,0,78.051680407,6198.9121723,0,0,78.051680407,6198.9121723,1136.208149,1313610.9727,515.38063549,270275.7999,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,1000000000,6,5,0,0,122.36611691,18358.855215,122.36611691,18358.855215,0,0,122.36611691,18358.855215,1969.3088918,4755004.4009,893.27265345,978343.39439,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,1000000001,6,5,0,0,0,0,0,0,60.62662213,4211.5198169,60.62662213,4211.5198169,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,INLAND,FINAL,31AUG2022:11:01:05
1981,5,36,8707040501,6,2,303.83766311,93061.405222,0,0,303.83766311,93061.405222,0,0,303.83766311,93061.405222,17371.31149,304194675.05,7879.5752019,62588133.649,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
1981,5,36,8708020201,6,2,0,0,0,0,0,0,320.44057334,106017.38168,320.44057334,106017.38168,0,0,0,0,0,0,7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL,31AUG2022:11:01:05
