"","YEAR","wt_mean_temp"
"1",1963,8.1693336987693
"2",1964,9.27383697696547
"3",1965,8.30133612112696
"4",1966,8.47902810856744
"5",1967,8.01823738444939
"6",1968,8.50913140885571
"7",1969,8.85482571919127
"8",1970,8.3734576459828
"9",1971,9.17442447082237
"10",1972,8.73457175578292
"11",1973,10.8525736923304
"12",1974,10.4291816387879
"13",1975,10.0858438953912
"14",1976,10.4603491191278
"15",1977,9.96023008203267
"16",1978,10.3010229240329
"17",1979,10.2487579961723
"18",1980,10.0314801477949
"19",1981,10.5700141713411
"20",1982,10.7987993823901
"21",1983,10.5025046462627
"22",1984,11.9650146772595
"23",1985,11.4399270853306
"24",1986,11.6673097182502
"25",1987,9.66682054033308
"26",1988,11.8529479531347
"27",1989,9.92058211707116
"28",1990,11.3425221788841
"29",1991,9.35514775051298
"30",1992,10.1662147636379
"31",1993,12.484528309517
"32",1994,12.9153651982827
"33",1995,10.6893363655737
"34",1996,10.8501435458528
"35",1997,9.71078397841693
"36",1998,9.63555098486784
"37",1999,10.9132125715524
"38",2000,10.4286166217061
"39",2001,11.0424322597665
"40",2002,9.49198944089611
"41",2003,8.24724857971664
"42",2004,10.5583402000754
"43",2005,8.16465603040348
"44",2006,10.8763088655021
"45",2007,10.4274441510512
"46",2008,10.7016497685481
"47",2009,11.101889650932
"48",2010,11.4812874146136
"49",2011,9.4308346598815
"50",2012,9.91766430087633
"51",2013,8.45758656632708
"52",2014,12.1307342127697
"53",2015,12.2540639057752
"54",2016,11.2131131087419
"55",2018,11.9062506701261
"56",2019,11.4239505617081
"57",2021,12.5410387027084
