"","Year","Variable","Val","ScaleType","ScaleName","ScaleName2","ScaleName3"
"67",1953,"Landings_KG",510035500,"State","Massachusetts","NEFMC","NES_LME_states"
"68",1953,"Landings_KG",367500200,"State","Delaware","MAFMC","NES_LME_states"
"69",1953,"Landings_KG",138386700,"State","New York","MAFMC","NES_LME_states"
"70",1953,"Landings_KG",192647600,"State","North Carolina","MAFMC","NES_LME_states"
"71",1953,"Landings_KG",17482500,"State","Connecticut","NEFMC","NES_LME_states"
"72",1953,"Landings_KG",458847700,"State","New Jersey","MAFMC","NES_LME_states"
"73",1953,"Landings_KG",243513000,"State","Maine","NEFMC","NES_LME_states"
"74",1953,"Landings_KG",92285300,"State","Rhode Island","NEFMC","NES_LME_states"
"75",1954,"Landings_KG",561067800,"State","Massachusetts","NEFMC","NES_LME_states"
"76",1954,"Landings_KG",285735500,"State","Maine","NEFMC","NES_LME_states"
"77",1954,"Landings_KG",15065400,"State","Connecticut","NEFMC","NES_LME_states"
"78",1954,"Landings_KG",60021900,"State","Maryland","MAFMC","NES_LME_states"
"79",1954,"Landings_KG",433598100,"State","New Jersey","MAFMC","NES_LME_states"
"80",1954,"Landings_KG",139271800,"State","New York","MAFMC","NES_LME_states"
"81",1954,"Landings_KG",315223400,"State","Delaware","MAFMC","NES_LME_states"
"82",1954,"Landings_KG",213265600,"State","North Carolina","MAFMC","NES_LME_states"
"83",1954,"Landings_KG",103726100,"State","Rhode Island","NEFMC","NES_LME_states"
"84",1954,"Landings_KG",412541300,"State","Virginia","MAFMC","NES_LME_states"
"85",1954,"Landings_KG",846000,"State","New Hampshire","NEFMC","NES_LME_states"
"86",1955,"Landings_KG",55248600,"State","Maryland","MAFMC","NES_LME_states"
"87",1955,"Landings_KG",233096200,"State","North Carolina","MAFMC","NES_LME_states"
"88",1955,"Landings_KG",566413100,"State","Massachusetts","NEFMC","NES_LME_states"
"89",1955,"Landings_KG",134870200,"State","New York","MAFMC","NES_LME_states"
"90",1955,"Landings_KG",115323000,"State","Rhode Island","NEFMC","NES_LME_states"
"91",1955,"Landings_KG",440959400,"State","Virginia","MAFMC","NES_LME_states"
"92",1955,"Landings_KG",421286500,"State","New Jersey","MAFMC","NES_LME_states"
"93",1955,"Landings_KG",257173600,"State","Maine","NEFMC","NES_LME_states"
"94",1955,"Landings_KG",15559900,"State","Connecticut","NEFMC","NES_LME_states"
"95",1955,"Landings_KG",317019000,"State","Delaware","MAFMC","NES_LME_states"
"96",1955,"Landings_KG",948500,"State","New Hampshire","NEFMC","NES_LME_states"
"97",1956,"Landings_KG",62006100,"State","Maryland","MAFMC","NES_LME_states"
"98",1956,"Landings_KG",575331500,"State","Massachusetts","NEFMC","NES_LME_states"
"99",1956,"Landings_KG",279562000,"State","Maine","NEFMC","NES_LME_states"
"100",1956,"Landings_KG",314351600,"State","Virginia","MAFMC","NES_LME_states"
"101",1956,"Landings_KG",540060500,"State","New Jersey","MAFMC","NES_LME_states"
"102",1956,"Landings_KG",300717900,"State","North Carolina","MAFMC","NES_LME_states"
"103",1956,"Landings_KG",360814500,"State","Delaware","MAFMC","NES_LME_states"
"104",1956,"Landings_KG",141308700,"State","Rhode Island","NEFMC","NES_LME_states"
"105",1956,"Landings_KG",154910700,"State","New York","MAFMC","NES_LME_states"
"106",1956,"Landings_KG",848500,"State","New Hampshire","NEFMC","NES_LME_states"
"107",1956,"Landings_KG",18194800,"State","Connecticut","NEFMC","NES_LME_states"
"108",1957,"Landings_KG",292250300,"State","Maine","NEFMC","NES_LME_states"
"109",1957,"Landings_KG",581062200,"State","Massachusetts","NEFMC","NES_LME_states"
"110",1957,"Landings_KG",237157500,"State","North Carolina","MAFMC","NES_LME_states"
"111",1957,"Landings_KG",297967800,"State","Delaware","MAFMC","NES_LME_states"
"112",1957,"Landings_KG",380138400,"State","Virginia","MAFMC","NES_LME_states"
"113",1957,"Landings_KG",67773400,"State","Maryland","MAFMC","NES_LME_states"
"114",1957,"Landings_KG",142080200,"State","Rhode Island","NEFMC","NES_LME_states"
"115",1957,"Landings_KG",472501400,"State","New Jersey","MAFMC","NES_LME_states"
"116",1957,"Landings_KG",158564200,"State","New York","MAFMC","NES_LME_states"
"117",1957,"Landings_KG",1072500,"State","New Hampshire","NEFMC","NES_LME_states"
"118",1957,"Landings_KG",14418900,"State","Connecticut","NEFMC","NES_LME_states"
"119",1958,"Landings_KG",290250900,"State","North Carolina","MAFMC","NES_LME_states"
"120",1958,"Landings_KG",554778700,"State","Massachusetts","NEFMC","NES_LME_states"
"121",1958,"Landings_KG",98013200,"State","New York","MAFMC","NES_LME_states"
"122",1958,"Landings_KG",437146500,"State","Virginia","MAFMC","NES_LME_states"
"123",1958,"Landings_KG",276537800,"State","Delaware","MAFMC","NES_LME_states"
"124",1958,"Landings_KG",251482540,"State","New Jersey","MAFMC","NES_LME_states"
"125",1958,"Landings_KG",66090700,"State","Maryland","MAFMC","NES_LME_states"
"126",1958,"Landings_KG",10512100,"State","Connecticut","NEFMC","NES_LME_states"
"127",1958,"Landings_KG",114523600,"State","Rhode Island","NEFMC","NES_LME_states"
"128",1958,"Landings_KG",316954700,"State","Maine","NEFMC","NES_LME_states"
"129",1958,"Landings_KG",978500,"State","New Hampshire","NEFMC","NES_LME_states"
"130",1959,"Landings_KG",537613700,"State","Massachusetts","NEFMC","NES_LME_states"
"131",1959,"Landings_KG",115669700,"State","New York","MAFMC","NES_LME_states"
"132",1959,"Landings_KG",63049900,"State","Maryland","MAFMC","NES_LME_states"
"133",1959,"Landings_KG",359503600,"State","New Jersey","MAFMC","NES_LME_states"
"134",1959,"Landings_KG",342612100,"State","North Carolina","MAFMC","NES_LME_states"
"135",1959,"Landings_KG",265958500,"State","Maine","NEFMC","NES_LME_states"
"136",1959,"Landings_KG",285755300,"State","Delaware","MAFMC","NES_LME_states"
"137",1959,"Landings_KG",1031000,"State","New Hampshire","NEFMC","NES_LME_states"
