#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 292  8.5  9.6  1.43  7.14  5.11 999 1012.8  11.8  12.2   9.2 99.0 99.00
2012 01 01 00 50 292 10.7 13.3  1.45  7.14  4.78 999 1013.5  12.3  12.5   8.2 99.0 99.00
2012 01 01 01 50 297 10.8 13.4  1.43  7.69  4.51 999 1013.9  12.0  12.3   7.5 99.0 99.00
2012 01 01 02 50 293 10.5 13.2  1.56  7.14  4.45 999 1014.8  11.5  12.3   6.7 99.0 99.00
2012 01 01 03 50 297 11.1 13.4  1.82  5.00  4.63 999 1015.2  11.2  12.4   6.7 99.0 99.00
2012 01 01 04 50 302 11.3 13.3  1.95  5.26  4.83 999 1015.6  11.0  12.6   6.8 99.0 99.00
2012 01 01 05 50 300 11.1 13.2  2.17  5.56  4.96 999 1016.3  11.1  12.7   7.2 99.0 99.00
2012 01 01 06 50 304 10.1 12.2  1.99  6.25  4.87 999 1017.0  10.8  12.7   7.1 99.0 99.00
2012 01 01 07 50 311  9.2 10.9  2.00  5.56  5.03 999 1017.6  10.6  12.6   6.9 99.0 99.00
2012 01 01 08 50 320  8.4  9.8  1.90  5.88  5.03 999 1018.3  10.5  12.5   6.7 99.0 99.00
2012 01 01 09 50 319  5.7  6.9  1.64  5.88  4.86 999 1018.8  10.3  12.3   6.4 99.0 99.00
2012 01 01 10 50 324  3.9  4.9  1.49  5.56  4.94 999 1019.1  10.0  12.3   6.2 99.0 99.00
2012 01 01 11 50 305  2.9  3.7  1.18  5.00  4.78 999 1020.0  10.1  12.3   6.3 99.0 99.00
2012 01 01 12 50 267  2.3  3.4  1.21  5.26  4.91 999 1020.5  10.2  12.4   6.1 99.0 99.00
2012 01 01 13 50 253  2.8  3.5  1.00  5.56  4.76 999 1020.7  10.4  12.6   6.5 99.0 99.00
2012 01 01 14 50 235  3.1  4.1  0.96  5.00  4.64 999 1020.7  10.1  12.8   6.5 99.0 99.00
2012 01 01 15 50 232  4.1  5.2  0.88  4.76  4.62 999 1020.0   9.9  13.0   6.4 99.0 99.00
2012 01 01 16 50 208  5.2  6.3  0.86  4.55  4.43 999 1018.5  10.2  12.8   6.6 99.0 99.00
2012 01 01 17 50 216  7.2  8.9  0.83  4.55  4.17 999 1017.0  10.5  12.7   6.5 99.0 99.00
2012 01 01 18 50 216  8.8 11.3  0.98  7.69  4.00 999 1016.3  10.8  12.5   6.9 99.0 99.00
2012 01 01 19 50 196  8.0  9.6  1.01  3.70  3.98 999 1014.6  11.1  12.4   7.2 99.0 99.00
2012 01 01 20 50 196  7.6  9.2  1.03  4.17  4.12 999 1014.2  11.8  12.3   7.8 99.0 99.00
2012 01 01 21 50 180  8.2  9.8  1.08  4.35  4.19 999 1013.0  12.6  12.2   8.9 99.0 99.00
2012 01 01 22 50 189  7.1  8.3  1.01  4.55  4.24 999 1012.4  13.3  12.2  10.4 99.0 99.00
2012 01 01 23 50 182  7.5  8.9  1.04  4.55  4.23 999 1011.2  13.6  12.2  11.1 99.0 99.00
2012 01 02 00 50 167  9.0 10.4  1.26  5.00  4.46 999 1009.3  13.8  12.1  11.8 99.0 99.00
2012 01 02 01 50 202  6.1  8.8  1.34  5.00  4.53 999 1009.7  13.9  12.1  12.3 99.0 99.00
2012 01 02 02 50 216 10.7 12.9  1.76  5.88  4.73 999 1008.4  14.4  12.1  10.2 99.0 99.00
2012 01 02 03 50 216  9.4 11.9  1.86  5.88  4.90 999 1007.4  14.2  12.2  11.0 99.0 99.00
2012 01 02 04 50 223 11.4 13.7  1.95  6.25  4.99 999 1005.8  14.1  12.3   9.8 99.0 99.00
2012 01 02 05 50 245 10.8 13.0  2.29  6.25  5.17 999 1005.6  13.5  12.3   9.6 99.0 99.00
2012 01 02 08 50 292 12.7 15.0  2.23  7.14  5.02 999 1006.3  10.3  12.4   4.1 99.0 99.00
2012 01 02 09 50 287 12.1 14.1  2.20  7.14  5.04 999 1006.4   9.6  12.3   1.3 99.0 99.00
2012 01 02 10 50 285 11.7 13.8  2.91  8.33  6.01 999 1006.4   8.9  12.2   1.8 99.0 99.00
2012 01 02 11 50 285 11.1 12.9  2.78  8.33  5.87 999 1007.3   8.3  12.2   1.0 99.0 99.00
2012 01 02 12 50 283 12.1 14.9  2.92  9.09  5.83 999 1008.1   7.7  12.2   0.3 99.0 99.00
2012 01 02 13 50 280 13.3 15.8  3.43  6.67  6.00 999 1009.0   6.3  12.3  -0.3 99.0 99.00
2012 01 02 14 50 277 12.9 15.7  3.23  8.33  6.04 999 1009.3   5.4  12.4  -3.4 99.0 99.00
2012 01 02 15 50 284 12.2 15.4  3.33  7.14  6.17 999 1009.1   5.1  12.4  -3.1 99.0 99.00
2012 01 02 16 50 285 11.7 14.6  3.25  7.69  6.11 999 1008.4   4.8  12.5  -3.8 99.0 99.00
2012 01 02 17 50 278 11.2 14.3  3.13  7.14  5.97 999 1007.9   4.9  12.6  -3.7 99.0 99.00
2012 01 02 18 50 287 11.0 13.5  2.86  7.14  5.88 999 1007.4   5.0  12.7  -3.7 99.0 99.00
2012 01 02 19 50 278 10.4 12.8  2.62  6.67  5.78 999 1007.5   5.2  12.8  -3.3 99.0 99.00
2012 01 02 20 50 280 10.1 12.8  2.64  6.67  5.67 999 1008.3   5.3  12.7  -4.0 99.0 99.00
2012 01 02 21 50 271 10.3 13.3  2.33  8.33  5.51 999 1009.0   5.6  12.7  -3.6 99.0 99.00
2012 01 02 22 50 276  9.9 12.6  2.20  8.33  5.34 999 1009.5   5.7  12.5  -3.5 99.0 99.00
2012 01 02 23 50 269 10.8 14.7  1.98  8.33  5.16 999 1010.2   5.5  12.5  -3.4 99.0 99.00
2012 01 03 00 50 279  9.8 12.8  2.05  5.88  5.10 999 1010.6   5.2  12.5  -4.5 99.0 99.00
2012 01 03 01 50 281 10.4 12.8  2.13  5.88  5.32 999 1010.4   5.3  12.5  -4.2 99.0 99.00
2012 01 03 02 50 280 10.3 12.7  1.95  5.88  5.08 999 1010.2   5.1  12.5  -4.2 99.0 99.00
2012 01 03 03 50 274 10.6 13.2  2.13  6.25  5.21 999 1010.0   4.9  12.5  -3.4 99.0 99.00
2012 01 03 04 50 281 10.0 12.2  2.02  6.25  4.96 999 1009.8   4.6  12.6  -3.3 99.0 99.00
2012 01 03 05 50 278 10.2 12.6  2.03  6.67  5.06 999 1009.3   4.5  12.7  -3.4 99.0 99.00
2012 01 03 06 50 290  9.8 12.7  2.01  5.88  4.97 999 1009.2   4.3  12.8  -3.8 99.0 99.00
2012 01 03 07 50 286  9.2 11.7  1.89  6.25  4.96 999 1009.1   3.9  12.8  -3.5 99.0 99.00
2012 01 03 08 50 287  8.4 11.1  1.70  6.25  4.77 999 1008.8   3.7  12.8  -4.1 99.0 99.00
2012 01 03 09 50 295  8.6 11.5  1.68  6.25  4.75 999 1008.7   3.7  12.7  -3.5 99.0 99.00
2012 01 03 10 50 303  9.8 13.2  1.69  5.56  4.61 999 1008.4   3.6  12.6  -2.9 99.0 99.00
2012 01 03 11 50 300 10.2 13.3  1.69  5.88  4.61 999 1009.2   3.4  12.5  -3.6 99.0 99.00
2012 01 03 12 50 305 11.8 14.7  1.99  5.88  4.91 999 1008.6   3.2  12.5  -3.5 99.0 99.00
2012 01 03 13 50 312 11.8 14.6  2.03  5.88  4.88 999 1009.7   2.8  12.6  -4.2 99.0 99.00
2012 01 03 14 50 331 11.9 14.6  2.26  6.67  5.17 999 1009.6   2.2  12.7  -3.6 99.0 99.00
2012 01 03 15 50 319 10.6 13.5  2.15  7.14  5.19 999 1010.0   1.6  12.8  -5.3 99.0 99.00
2012 01 03 16 50 325 11.1 14.2  2.01  7.14  5.21 999 1009.4   1.5  13.0  -4.1 99.0 99.00
2012 01 03 17 50 328 11.6 13.9  2.10  6.67  5.02 999 1009.2   0.5  13.1  -4.1 99.0 99.00
2012 01 03 18 50 323 12.1 15.9  2.28  7.14  5.16 999 1009.5   0.2  13.3  -4.8 99.0 99.00
2012 01 03 19 50 336 11.4 15.2  2.18  6.25  5.08 999 1010.3   0.1  13.3  -5.2 99.0 99.00
2012 01 03 20 50 319 11.0 13.9  2.27  6.67  5.13 999 1011.1  -0.2  13.3  -4.1 99.0 99.00
2012 01 03 21 50 340 12.7 15.6  2.46  6.67  5.23 999 1011.7   0.2  13.3  -2.9 99.0 99.00
2012 01 03 22 50 329 13.1 16.8  2.29  6.67  5.09 999 1013.3  -0.1  13.2  -3.8 99.0 99.00
2012 01 03 23 50 334 12.1 15.2  2.27  7.14  5.02 999 1014.7  -0.3  13.2  -6.0 99.0 99.00
2012 01 04 00 50 328 13.2 15.9  2.33  7.14  5.05 999 1015.3  -0.4  13.2  -5.7 99.0 99.00
2012 01 04 01 50 329 13.1 15.2  2.92  7.14  5.54 999 1016.1  -1.0  13.2  -7.2 99.0 99.00
2012 01 04 02 50 332 11.7 15.4  2.95  7.14  5.56 999 1016.9  -1.4  13.1  -7.3 99.0 99.00
2012 01 04 03 50 318 10.8 13.9  3.06  7.14  5.88 999 1017.1  -1.8  13.2  -7.3 99.0 99.00
2012 01 04 04 50 317 12.0 14.7  2.86  7.69  5.74 999 1017.6  -2.1  13.3  -7.0 99.0 99.00
2012 01 04 05 50 315 11.3 14.8  2.66  7.69  5.61 999 1018.6  -2.6  13.5  -7.1 99.0 99.00
2012 01 04 06 50 320  9.6 12.2  2.52  7.14  5.48 999 1018.9  -2.8  13.2  -7.2 99.0 99.00
2012 01 04 07 50 325 10.6 14.0  2.68  7.14  5.54 999 1019.4  -2.8  13.2  -6.9 99.0 99.00
2012 01 04 08 50 320 10.7 13.9  2.44  6.67  5.43 999 1019.7  -3.3  13.1  -7.5 99.0 99.00
2012 01 04 09 50 318 10.4 13.3  2.22  6.25  5.12 999 1019.9  -3.2  13.1  -6.6 99.0 99.00
2012 01 04 10 50 310  9.5 12.3  1.93  6.25  4.92 999 1020.2  -3.2  13.1  -6.4 99.0 99.00
2012 01 04 11 50 304 10.9 15.1  1.89  6.25  4.77 999 1020.8  -3.1  13.1  -6.2 99.0 99.00
2012 01 04 12 50 307  9.2 11.7  1.85  6.25  4.80 999 1021.6  -3.0  13.1  -6.1 99.0 99.00
2012 01 04 13 50 300  9.0 11.3  1.69  5.88  4.74 999 1022.2  -2.9  13.1  -6.6 99.0 99.00
2012 01 04 14 50 299  8.9 10.9  1.41  5.88  4.41 999 1022.5  -2.5  13.1  -5.4 99.0 99.00
2012 01 04 15 50 292  9.2 11.6  1.50  5.56  4.51 999 1021.7  -2.7  13.1  -4.1 99.0 99.00
2012 01 04 16 50 284  8.8 11.2  1.44  5.56  4.52 999 1021.1  -2.2  13.1  -4.1 99.0 99.00
2012 01 04 17 50 292  7.3 10.4  1.42  5.00  4.47 999 1020.0  -2.6  13.1  -4.7 99.0 99.00
2012 01 04 18 50 292  6.8  8.6  1.32  5.26  4.37 999 1019.4  -2.0  13.2  -4.3 99.0 99.00
2012 01 04 19 50 279  6.8  9.3  1.08  4.76  4.19 999 1019.4  -1.5  13.3  -4.2 99.0 99.00
2012 01 04 20 50 266  6.6  8.9  1.10  4.76  4.17 999 1018.9  -0.5  13.4  -4.4 99.0 99.00
2012 01 04 21 50 251  6.8  9.5  0.98  5.26  3.93 999 1018.6   0.4  13.4  -6.9 99.0 99.00
2012 01 04 22 50 252  8.5 10.5  1.06  5.00  3.85 999 1018.5   1.0  13.3  -6.2 99.0 99.00
2012 01 04 23 50 252  8.5 10.5  1.05  4.55  3.88 999 1018.2   1.5  13.2  -4.8 99.0 99.00
2012 01 05 00 50 253  8.5 11.4  1.04  4.76  3.94 999 1017.8   2.1  13.2  -3.6 99.0 99.00
2012 01 05 01 50 246  9.5 12.2  1.06  4.55  4.01 999 1017.7   2.5  13.2  -2.4 99.0 99.00
2012 01 05 02 50 251  9.4 11.1  1.23  4.55  4.21 999 1017.3   2.8  13.3  -3.2 99.0 99.00
2012 01 05 03 50 247  8.9 11.1  1.34  5.00  4.33 999 1016.4   3.8  13.6  -2.2 99.0 99.00
2012 01 05 04 50 243  9.8 12.3  1.36  4.76  4.47 999 1015.5   4.4  13.6  -1.8 99.0 99.00
2012 01 05 05 50 260 10.7 13.1  1.40  5.26  4.38 999 1015.0   4.3  13.9  -2.1 99.0 99.00
2012 01 05 06 50 266 10.0 12.5  1.55  5.26  4.45 999 1014.8   2.8  13.8   1.3 99.0 99.00
2012 01 05 07 50 266 11.4 13.3  1.68  5.56  4.64 999 1013.9   3.2  13.8   1.2 99.0 99.00
2012 01 05 08 50 269  7.7 10.4  1.72  5.88  4.85 999 1013.2   3.1  13.8   1.6 99.0 99.00
2012 01 05 09 50 291  8.0 10.5  1.72  6.25  4.93 999 1012.7   2.8  13.8   0.4 99.0 99.00
2012 01 05 10 50 287  7.9 10.2  1.67  6.25  5.02 999 1012.3   3.6  13.8   0.5 99.0 99.00
2012 01 05 11 50 275  6.0  8.8  1.52  6.25  4.87 999 1012.3   3.6  13.8  -1.1 99.0 99.00
2012 01 05 12 50 282  8.3 11.1  1.46  6.67  4.73 999 1013.0   3.5  13.8  -1.9 99.0 99.00
2012 01 05 13 50 283  9.9 13.2  1.43  6.67  4.50 999 1013.5   3.7  13.8  -1.2 99.0 99.00
2012 01 05 14 50 285  9.3 11.8  1.43  6.25  4.45 999 1013.8   3.6  13.8  -1.3 99.0 99.00
2012 01 05 15 50 292  9.6 12.3  1.55  6.67  4.63 999 1013.4   3.7  13.8  -0.7 99.0 99.00
2012 01 05 16 50 292  9.2 12.2  1.53  6.67  4.79 999 1012.2   3.8  13.3  -0.7 99.0 99.00
2012 01 05 17 50 281  8.4 11.0  1.55  5.00  4.73 999 1010.9   4.1  13.2  -0.8 99.0 99.00
2012 01 05 18 50 288  9.8 12.1  1.68  5.26  5.00 999 1010.7   4.5  13.1  -1.0 99.0 99.00
2012 01 05 19 50 291 11.1 13.9  1.73  7.14  4.79 999 1011.3   4.8  13.0  -0.9 99.0 99.00
2012 01 05 20 50 293 10.5 13.4  1.85  5.56  4.87 999 1011.9   4.6  13.0  -1.2 99.0 99.00
2012 01 05 21 50 296 10.1 12.7  1.88  5.56  4.94 999 1012.5   5.2  13.0  -1.9 99.0 99.00
2012 01 05 22 50 290 10.7 14.2  1.91  5.56  4.89 999 1013.2   5.4  13.0  -1.2 99.0 99.00
2012 01 05 23 50 296 10.5 13.8  1.84  5.88  4.91 999 1014.2   5.4  13.0  -1.7 99.0 99.00
2012 01 06 00 50 302  9.8 11.7  2.15  5.88  5.00 999 1014.7   5.6  12.9  -1.6 99.0 99.00
