#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 279  7.9 10.4  1.14  5.00  4.15 297 1024.7   1.0  12.2  -8.0 99.0 99.00
2015 01 01 00 50 269  7.9 10.3  1.07  5.00  4.00 292 1024.5   1.3  12.1  -7.9 99.0 99.00
2015 01 01 01 50 284  8.9 11.6  1.05  4.76  3.94 305 1024.0   1.5  12.1  -7.6 99.0 99.00
2015 01 01 02 50 277  9.4 12.3  1.08  4.55  3.94 299 1023.7   1.5  12.1  -7.4 99.0 99.00
2015 01 01 03 50 275  9.8 12.3 99.00 99.00 99.00 999 1023.1   1.6  12.1  -7.0 99.0 99.00
2015 01 01 04 50 273 11.1 14.2 99.00 99.00 99.00 999 1022.3   2.4  12.1  -7.3 99.0 99.00
2015 01 01 05 50 277 12.2 15.9  1.78  5.56  4.64 285 1021.5   3.3  12.1  -6.0 99.0 99.00
2015 01 01 06 50 271 13.8 17.6 99.00 99.00 99.00 999 1020.7   3.9  12.2  -6.4 99.0 99.00
2015 01 01 07 50 274 14.2 17.5  2.63  6.25  5.35 283 1020.2   4.0  12.3  -5.9 99.0 99.00
2015 01 01 08 50 268 15.5 18.9 99.00 99.00 99.00 999 1019.4   3.9  12.4  -6.1 99.0 99.00
2015 01 01 09 50 274 15.1 19.7 99.00 99.00 99.00 999 1019.6   3.8  12.4  -5.9 99.0 99.00
2015 01 01 10 50 282 13.7 18.8  3.28  7.14  5.72 277 1020.4   3.6  12.4  -5.9 99.0 99.00
2015 01 01 11 50 283 13.0 16.8  3.02  7.14  5.76 276 1021.1   3.1  12.4  -6.5 99.0 99.00
2015 01 01 12 50 282 12.4 15.5  2.91  7.14  5.68 267 1021.6   3.0  12.4  -6.0 99.0 99.00
2015 01 01 13 50 293 12.1 15.3  2.39  7.14  5.39 264 1022.3   2.8  12.4  -6.9 99.0 99.00
2015 01 01 14 50 275 12.6 15.3  2.57  6.67  5.48 285 1022.6   2.9  12.4  -6.1 99.0 99.00
2015 01 01 15 50 281 12.5 15.3  2.69  7.14  5.59 269 1022.0   3.4  12.5  -6.0 99.0 99.00
2015 01 01 16 50 270 12.1 16.1  2.55  7.14  5.54 276 1020.6   3.9  12.5  -5.1 99.0 99.00
2015 01 01 17 50 264 13.0 16.5  2.38  7.14  5.44 262 1019.1   4.4  12.6  -5.3 99.0 99.00
2015 01 01 18 50 250 12.7 15.9  2.30  5.88  5.30 275 1018.0   5.1  12.6  -4.0 99.0 99.00
2015 01 01 19 50 243 12.1 15.3  2.35  6.67  5.39 254 1017.1   5.7  12.7  -3.7 99.0 99.00
2015 01 01 20 50 254 13.3 15.8  2.41  7.14  5.30 251 1016.9   6.2  12.9  -3.5 99.0 99.00
2015 01 01 21 50 240 12.7 15.3  2.33  6.67  5.06 241 1016.6   6.7  12.9  -2.8 99.0 99.00
2015 01 01 22 50 240 13.2 17.6  2.39  6.25  5.25 248 1016.9   7.5  12.9  -0.7 99.0 99.00
2015 01 01 23 50 245 13.0 16.0  2.35  6.67  5.22 247 1016.8   7.6  12.9   0.6 99.0 99.00
2015 01 02 00 50 256 14.0 16.8  2.59  7.14  5.34 248 1016.8   7.2  12.7  -0.4 99.0 99.00
2015 01 02 01 50 259 12.7 15.2 99.00 99.00 99.00 999 1017.1   7.6  12.6  -1.1 99.0 99.00
2015 01 02 02 50 261 13.1 16.2  2.39  6.67  5.25 256 1017.0   7.8  12.5  -1.4 99.0 99.00
2015 01 02 03 50 254 13.6 16.3  2.59  6.67  5.43 246 1017.3   8.1  12.5  -0.5 99.0 99.00
2015 01 02 04 50 254 13.9 16.7 99.00 99.00 99.00 999 1017.1   9.0  12.5  -0.5 99.0 99.00
2015 01 02 05 50 255 14.3 17.4  2.87  7.69  5.62 239 1016.9   9.3  12.6   1.1 99.0 99.00
2015 01 02 06 50 276 13.2 15.7  2.74  7.69  5.61 236 1017.0   8.5  12.7   1.0 99.0 99.00
2015 01 02 07 50 288 12.0 14.3  2.84  7.69  5.62 224 1017.7   7.7  12.7  -0.8 99.0 99.00
2015 01 02 08 50 294 11.8 13.7  2.55  8.33  5.57 219 1017.9   7.2  12.7  -2.3 99.0 99.00
2015 01 02 09 50 292 11.6 14.2  2.60  7.69  5.64 227 1018.4   7.0  12.9  -2.2 99.0 99.00
2015 01 02 10 50 290 11.7 14.8 99.00 99.00 99.00 999 1019.1   6.9  13.0  -2.2 99.0 99.00
2015 01 02 11 50 290 12.6 14.8 99.00 99.00 99.00 999 1020.2   7.2  13.0  -2.5 99.0 99.00
2015 01 02 12 50 292 12.8 14.8  2.69  6.25  5.54 299 1021.4   7.0  13.0  -3.2 99.0 99.00
2015 01 02 13 50 300 12.0 14.3 99.00 99.00 99.00 999 1022.4   7.1  13.1  -2.0 99.0 99.00
2015 01 02 14 50 302 10.8 12.8  2.51  5.88  5.60 294 1023.1   6.9  13.1  -2.6 99.0 99.00
2015 01 02 15 50 297  9.9 13.4  2.60  6.25  5.64 298 1023.4   6.6  13.1  -2.9 99.0 99.00
2015 01 02 16 50 293  8.8 11.0  2.25  6.67  5.59 286 1022.5   6.6  13.2  -2.8 99.0 99.00
2015 01 02 17 50 290  9.9 12.9  1.96  6.67  5.27 290 1022.4   6.6  13.2  -1.8 99.0 99.00
2015 01 02 18 50 298 11.3 13.5  2.24  6.25  5.48 297 1022.6   6.4  13.3  -2.0 99.0 99.00
2015 01 02 19 50 302  9.9 12.5  2.16  5.88  5.39 300 1023.9   6.2  13.2  -2.4 99.0 99.00
2015 01 02 20 50 295  8.9 10.7  2.07  5.88  5.31 293 1024.3   6.2  12.6  -2.7 99.0 99.00
2015 01 02 21 50 300  9.2 11.5  2.00  5.88  5.29 301 1025.0   6.4  12.5  -2.7 99.0 99.00
2015 01 02 22 50 299  9.3 11.1 99.00 99.00 99.00 999 1025.8   6.5  12.5  -1.8 99.0 99.00
2015 01 02 23 50 300  8.5 10.7  1.74  5.88  5.12 311 1027.0   6.4  12.5  -2.9 99.0 99.00
2015 01 03 00 50 294  8.8 11.6  1.76  5.56  4.93 306 1027.9   6.3  12.5  -2.6 99.0 99.00
2015 01 03 01 50 306  8.6 10.3  1.65  7.69  5.05 197 1028.6   6.2  12.5  -2.7 99.0 99.00
2015 01 03 02 50 308  9.3 12.0  1.63  5.56  4.78 308 1029.6   6.2  12.4  -2.4 99.0 99.00
2015 01 03 03 50 312  8.4 10.8  1.58  7.69  4.86 192 1030.4   6.2  12.4  -2.7 99.0 99.00
2015 01 03 04 50 326  7.3  9.3  1.46  5.56  4.80 304 1030.3   6.1  12.4  -2.9 99.0 99.00
2015 01 03 05 50 339  7.5  9.1  1.38  6.25  4.78 298 1030.8   6.2  12.5  -2.6 99.0 99.00
2015 01 03 06 50 352  6.3  8.2  1.23  6.25  4.57 305 1031.5   6.0  12.5  -3.4 99.0 99.00
2015 01 03 07 50  17  3.8  5.5  1.20  5.88  4.69 317 1032.5   5.8  12.5  -3.4 99.0 99.00
2015 01 03 08 50  29  4.2  5.8 99.00 99.00 99.00 999 1032.8   5.6  12.5  -3.2 99.0 99.00
2015 01 03 09 50  68  3.2  5.5  0.89  5.56  4.41 313 1033.2   5.6  12.5  -2.9 99.0 99.00
2015 01 03 10 50  45  4.8  5.9  0.82  5.00  4.28 319 1033.6   5.7  12.4  -2.6 99.0 99.00
2015 01 03 11 50  67  5.0  6.8 99.00 99.00 99.00 999 1034.3   5.8  12.4  -2.7 99.0 99.00
2015 01 03 12 50  89  6.1  8.5 99.00 99.00 99.00 999 1034.7   6.3  12.4  -1.3 99.0 99.00
2015 01 03 13 50  94  7.7  9.6 99.00 99.00 99.00 999 1034.6   6.9  12.4   0.5 99.0 99.00
2015 01 03 14 50  93  8.7 10.9 99.00 99.00 99.00 999 1034.1   7.2  12.4   1.5 99.0 99.00
2015 01 03 15 50 110  7.9  9.8 99.00 99.00 99.00 999 1034.3   7.5  12.4   1.9 99.0 99.00
2015 01 03 16 50 116  9.4 11.6  1.02  4.35  3.84  62 1032.4   8.2  12.4   3.7 99.0 99.00
2015 01 03 17 50 123  9.1 11.5  1.22  4.17  4.00  90 1031.4   8.8  12.5   4.7 99.0 99.00
2015 01 03 18 50 126  9.9 11.8  1.31  5.00  4.18  58 1030.3   9.4  12.5   5.8 99.0 99.00
2015 01 03 19 50 121  9.8 12.1  1.50  4.76  4.30  97 1030.2   9.7  12.5   6.8 99.0 99.00
2015 01 03 20 50 112 10.7 13.1  1.41  4.76  4.34 103 1029.2   9.4  12.6   8.8 99.0 99.00
2015 01 03 21 50 120 11.9 14.3  1.58  5.26  4.41 110 1027.6  10.2  12.6   9.6 99.0 99.00
