#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 02 50 301 17.3 21.6  5.26  8.33  6.83 999 1000.9  -0.8  12.4  -3.2 99.0 99.00
2010 01 03 03 50 298 17.2 20.4  4.83  8.33  6.60 999 1000.8  -0.9  12.4  -3.7 99.0 99.00
2010 01 03 04 50 293 17.2 22.6  4.95  9.09  6.64 999 1000.5  -1.1  12.4  -3.9 99.0 99.00
2010 01 03 05 50 294 16.7 20.8  4.79  9.09  6.64 999 1000.3  -1.6  12.4  -4.2 99.0 99.00
2010 01 03 06 50 294 17.4 21.7  4.75  9.09  6.70 999  999.7  -1.8  12.4  -4.5 99.0 99.00
2010 01 03 07 50 291 17.8 22.4  4.97  8.33  6.87 999  999.4  -1.9  12.4  -4.9 99.0 99.00
2010 01 03 08 50 288 17.2 21.5  5.19  8.33  6.99 999  998.6  -1.7  12.4  -4.7 99.0 99.00
2010 01 03 09 50 291 17.4 22.3  6.01  9.09  7.37 999  997.6  -1.4  12.3  -4.2 99.0 99.00
2010 01 03 10 50 288 17.7 22.4  5.45  9.09  7.28 999  997.4  -1.6  12.4  -4.7 99.0 99.00
2010 01 03 11 50 282 18.2 22.6  5.47 10.00  7.18 999  996.8  -1.5  12.4  -4.5 99.0 99.00
2010 01 03 12 50 283 17.5 22.6  6.79 10.00  7.71 999  996.4  -1.1  12.5  -4.3 99.0 99.00
2010 01 03 13 50 283 18.9 22.7  6.18 10.00  7.49 999  995.6  -1.4  12.4  -4.8 99.0 99.00
2010 01 03 14 50 284 18.3 23.0  6.70  9.09  7.39 999  995.8  -1.1  12.4  -3.5 99.0 99.00
2010 01 03 15 50 290 18.1 22.6  6.66  9.09  7.50 999  995.8  -1.3  12.3  -3.7 99.0 99.00
2010 01 03 16 50 289 17.9 22.3  6.39  9.09  7.25 999  995.0  -1.5  12.3  -3.8 99.0 99.00
2010 01 03 17 50 291 18.3 21.5  6.77  9.09  7.50 999  994.7  -1.4  12.3  -3.9 99.0 99.00
2010 01 03 18 50 293 17.2 21.8  5.99  9.09  7.37 999  995.1  -1.2  12.3  -3.3 99.0 99.00
