"","year","month","day","hour","Dp","DpDt","DsqP","Ege","Ely","Emg","Erg","Esp","area","centers","depth","id","lat","lon","p_cent","p_edge","p_grad","pid","ptid","radius","time","type","u","uv","v","x","y","strength"
"1",1950,1,7,3,-2.571862599046,-27.4562691261513,10.8855967928035,0,0,0,0,0,1697500,2,12,9,40.4642410021387,-75.8014459761368,1005.4930100778,1017.4930100778,16.5105640246086,9,211,735.072126935163,18268.125,1,81.4538950597259,85.0778502978532,24.566310079112,152,307,1
"2",1950,1,7,6,-2.03111914809167,-21.5679747877288,12.0765980650453,0,0,0,0,0,1691250,2,12,10,40.7265108016425,-73.7774580204724,1003.46189092971,1015.46189092971,17.3456988281592,10,211,733.717653466465,18268.25,1,56.8506286106137,57.675751189798,9.72102370563686,155,300,1
"3",1950,1,7,9,-3.47205419428734,-35.34229851687,7.56105439836589,0,0,0,2,0,1516250,1,12,7,42.8930445580099,-67.3909272498943,1000.66044117348,1012.66044117348,17.0036345224932,7,233,694.721069873494,18268.375,1,4.13115298629844,12.5803054871207,-11.8826622081534,171,281,1
"4",1950,1,7,12,-0.116952335535316,-1.19556980082163,5.71674109296735,0,0,0,0,0,949375,1,8,5,42.6662520026874,-67.498314815855,1000.54348883795,1008.54348883795,16.659463479694,5,233,549.723065002494,18268.5,1,-2.92678264376221,8.90100612674839,-8.40606051754237,170,281,1
"5",1950,2,7,0,NA,NA,3.48600415400455,3,0,0,0,0,799375,1,4,13,41.6997968839304,-70.8716414075746,1012.18989973658,1016.18989973658,11.3597990866842,13,227,504.429346160756,18299,1,NA,NA,NA,162,291,1
"6",1950,2,7,3,-1.49711056301021,-15.5784013811953,4.6057131154769,0,0,0,0,0,468125,1,4,9,41.7446483229915,-69.3957935873495,1010.69278917357,1014.69278917357,12.7268420838075,9,227,386.016599992522,18299.125,1,40.8139289014045,40.8477713503067,1.66241749209976,164,286,1
"7",1950,2,7,6,-1.17662296363254,-12.2313755638226,3.9259568897319,0,0,0,0,0,1089375,2,6,11,41.7954385186425,-67.3062050549076,1009.51616620994,1015.51616620994,13.3804806392725,11,227,588.862320293519,18299.25,1,57.7402127841971,57.7708933570855,1.88253735989254,167,279,1
"8",1950,2,15,12,NA,NA,4.05170518473133,3,0,0,0,0,276250,1,2,7,39.3155799690953,-75.2964481762384,1011.08837016717,1013.08837016717,8.88120927547653,7,437,296.535168332986,18307.5,1,NA,NA,NA,148,304,1
"9",1950,2,15,15,-0.442194241723919,-4.79942119121578,4.34484472169999,0,0,0,0,0,247500,1,2,6,39.6673583958571,-74.6523569050027,1010.64617592545,1012.64617592545,9.31322176724639,6,437,280.680773888217,18307.625,1,18.3766956552698,22.5324114588774,13.038658786307,150,302,1
"10",1950,2,15,18,-2.40996352317263,-26.0064906044906,6.09655512060024,0,0,0,0,3,141875,0,1.64312533828022,8,39.9426973719233,-73.7450970201372,1008.23621240228,1009.87933774056,10.1194008912193,6,437,212.509329447733,18307.75,2,25.7817037006181,27.728092189886,10.2054324153537,152,299,1
"11",1950,2,15,21,-1.19562264623397,-12.7894927903474,6.64124358029519,0,0,0,0,0,136250,0,1.61382744716524,8,40.3670171129084,-72.494547171213,1007.04058975604,1008.65441720321,11.1659539043138,7,437,208.253984337735,18307.875,2,35.3155123999568,38.6592363188597,15.7274008242283,155,295,1
"12",1950,2,16,0,-1.96059186786442,-20.7145754834408,4.42329918918287,0,0,1,0,0,630000,1,6,6,40.9757961829938,-67.9727213308287,1005.07999788818,1011.07999788818,14.8312783860893,6,437,447.811599108138,18308,1,126.522668418501,128.519013882418,22.5643813469615,163,280,1
"13",1950,2,16,3,-1.04520336195681,-10.8652263773565,6.27155534230355,0,0,0,0,0,879375,1,8,5,41.7954385186425,-67.3062050549076,1004.03479452622,1012.03479452622,15.2788813831894,5,437,529.068763170602,18308.125,1,18.4178090873226,35.5269122905487,30.3800231290774,167,279,1
