"","YEAR","strat.biomass"
"3624",1963,0
"3625",1964,1.55634046108704
"3626",1965,2.36247610339568
"3627",1966,2.07795696000544
"3628",1967,1.26896597181064
"3629",1968,1.07239477381972
"3630",1969,1.03176601813274
"3631",1970,0.580067475407136
"3632",1971,0.763341532496894
"3633",1972,1.82800070947892
"3634",1973,0.512781123634159
"3635",1974,0.752963410283823
"3636",1975,0.815609512326468
"3637",1976,0.585987916548109
"3638",1977,0.499005464735759
"3639",1978,0.785267107135234
"3640",1979,0.557267661828381
"3641",1980,0.573850343317551
"3642",1981,1.21257413290818
"3643",1982,1.13132770275824
"3644",1983,0.556086467419348
"3645",1984,0.876691324849367
"3646",1985,1.03479094739297
"3647",1986,0.420643730584064
"3648",1987,0.655668704059884
"3649",1988,0.565447418333785
"3650",1989,1.39437946683126
"3651",1990,1.11659902211819
"3652",1991,0.855922256019823
"3653",1992,0.954022516129106
"3654",1993,0.681372626690769
"3655",1994,0.149770369980631
"3656",1995,0.912654972436272
"3657",1996,2.34982821356064
"3658",1997,1.50981133206829
"3659",1998,1.25723726704717
"3660",1999,0.597901728958508
"3661",2000,0.875920481232099
"3662",2001,0.596751151340251
"3663",2002,0.458888739810179
"3664",2003,0.298477944626156
"3665",2004,0.270836538779868
"3666",2005,0.40351727300385
"3667",2006,0.602361437194997
"3668",2007,0.288764546935578
"3669",2008,0.383881333984099
"3670",2009,0.338319382835932
"3671",2010,0.714763443927148
"3672",2011,0.461161956486568
"3673",2012,0.979500323668201
"3674",2013,0.418761901199322
"3675",2014,0.560977291954096
"3676",2015,0.336640409620905
"3677",2016,0.488149047078346
"3678",2018,0.278499228475608
"3679",2019,0.358097481559796
