year,month,day,hour,time,id,pid,ptid,x,y,lat,lon,p_cent,p_edge,area,radius,depth,p_grad,DsqP,type,centers,Ege,Erg,Ely,Esp,Emg,Dp,u,v,uv,DpDt
1952,10,14,6,19279.25,13,13,298,231,361,60.901269330469894,-90.66879195296868,1009.366011116566,1011.366011116566,263750,289.7485676944319,2.0,7.500478730861951,8.41840822567443,1,1,3,0,0,0,0,,,,,
1952,10,14,9,19279.375,12,12,298,231,359,60.903073074200904,-89.77706034880248,1008.1226717916529,1010.1226717916529,131875,204.88317705582224,2.0,8.767214352084835,10.140982601011856,1,1,0,0,0,0,0,-1.2433393249131042,16.072689042998004,0.06685571728520785,16.0728280884181,-9.858233259399867
1952,10,14,12,19279.5,13,13,298,231,357,60.89766214710232,-88.8854367275153,1005.1131125801243,1009.1131125801243,316250,317.27827140480923,4.0,10.975964353203656,9.509428364762789,1,2,0,0,0,1,0,-3.0095592115286856,16.073469823616975,-0.20055588060231389,16.074720987686526,-23.86355490407566
1952,10,14,15,19279.625,10,10,298,231,354,60.876027553579135,-87.54914736222898,1004.2786429100368,1010.2786429100368,558750,421.7293550432469,6.0,12.178692156958487,6.802897410992081,1,2,0,0,0,0,0,-0.8344696700875648,24.10565229656643,-0.8018856799315631,24.118986157934533,-6.618112229912038
1952,10,14,18,19279.75,6,6,298,232,352,61.08396265519581,-86.63353933657021,1003.3785289922181,1011.3785289922181,811875,508.35798296620175,8.0,13.069202220884902,8.464660125870214,1,1,0,0,0,0,1,-0.9001139178186713,16.40933067683154,7.707109457031722,18.129138684567245,-7.1243733351184915
1952,10,14,21,19279.875,7,7,298,233,350,61.28413533164122,-85.70521674297731,1003.2039366130366,1011.2039366130366,699375,471.824095028845,8.0,13.61381869110391,8.297160550480038,1,1,0,0,0,0,0,-0.174592379181413,16.531869326740587,7.419395357864258,18.12043407075901,-1.3792398331984261
1952,10,15,0,19280.0,7,7,298,233,349,61.265885463318114,-85.25510079454351,1002.0439940988913,1012.0439940988913,978750,558.1628804411712,10.0,15.156808573035661,9.643243581447459,1,1,0,0,0,0,0,-1.1599425141453685,8.02052221257096,-0.6764309231538862,8.048995922234212,-9.164880094355926
1952,10,15,3,19280.125,7,7,298,234,348,61.47639985530146,-84.76441033820156,1000.6924454056866,1012.6924454056866,1324375,649.2777953346763,12.0,16.470088570937477,10.483879641525563,1,1,0,0,0,0,0,-1.351548693204677,8.684853790100906,7.802710791404121,11.6751437271549,-10.657393108193467
1952,10,15,6,19280.25,8,8,298,236,347,61.91477014336139,-84.2205141748441,1000.2911085858532,1012.2911085858532,1261250,633.6152964925216,12.0,16.483495585002736,9.804744328446176,1,1,0,0,0,0,0,-0.4013368198333774,9.490750724898328,16.248184007992567,18.816955993989662,-3.1516560414750194
1952,10,15,9,19280.375,8,8,298,237,348,62.16728904884198,-84.6369305799533,1000.019748673039,1012.019748673039,1134375,600.9016368256435,12.0,17.027582450702944,10.301106113089409,1,1,0,0,0,0,0,-0.2713599128142232,-7.206208879901648,9.359607057092816,11.812353308462924,-2.1259817490292634
1952,10,15,12,19280.5,8,8,298,237,349,62.18795698694994,-85.10090754621224,1000.9154412963026,1010.9154412963026,1245625,629.6782924459793,10.0,15.384126325545717,10.053317325128809,1,2,0,0,0,1,0,0.8956926232636033,-8.023768765101153,0.7660566206031323,8.06025483106972,7.016009405148923
1952,10,15,15,19280.625,8,8,298,235,351,61.76239568750929,-86.09430086292788,1000.6541570531725,1010.6541570531725,1220000,623.1677632421503,10.0,15.349371650636767,11.148434536775895,1,1,0,0,0,0,0,-0.2612842431300669,-17.420490182314733,-15.773419158022133,23.500515528957735,-2.0547610416943844
1952,10,15,18,19280.75,9,9,298,234,352,61.54627258192925,-86.58001690513889,1000.5605322528671,1010.5605322528671,1147500,604.3679296553547,10.0,15.011544861123383,12.940512636860586,1,2,0,0,0,1,0,-0.0936248003054061,-8.577514408516636,-8.010597623722216,11.73641460231763,-0.737773012787721
1952,10,15,21,19280.875,10,10,298,232,352,61.08396265519581,-86.63353933657021,999.7793085904652,1009.7793085904652,1054375,579.3254579638584,10.0,14.90183701014413,11.837392430388718,1,2,0,0,0,0,0,-0.7812236624018988,-0.9592253314788003,-17.13550613005866,17.162333278719082,-6.183360704684625
1952,10,16,0,19281.0,7,7,298,230,353,60.63363399139053,-87.12656150240647,998.3452163194904,1008.3452163194904,1118750,596.7488459713314,10.0,14.778137443084466,15.467668670410351,1,2,0,0,0,0,0,-1.4340922709747974,-8.961335558676284,-16.691420912590164,18.9448955414499,-11.400644640645178
1952,10,16,3,19281.125,9,9,298,229,353,60.401917116041396,-87.14854370926294,998.0980861453639,1008.0980861453639,1188750,615.1348447299838,10.0,14.336755884964678,13.679049828074715,1,2,0,0,0,0,0,-0.24713017412650515,-0.4024252882671876,-8.58858031891771,8.598003140679676,-1.9691150223067075
1952,10,16,6,19281.25,10,10,298,227,352,59.92581600053981,-86.76029970389789,998.6096346005661,1002.6096346005661,73750,153.21669003752353,4.0,13.529843747231622,12.333284344746572,1,1,0,0,0,2,0,0.5115484552021371,7.211246575041361,-17.646676204530518,19.06324364408086,4.095452535604573
1952,10,16,9,19281.375,10,10,298,226,351,59.67986488952555,-86.35687178779398,998.4900028906766,1002.4900028906766,88750,168.07737027574956,4.0,13.315144612881578,10.498559842109461,1,1,0,0,0,0,0,-0.11963170988950879,7.548749625509572,-9.116171915792913,11.835886587278637,-0.9601660443146517
1952,10,16,12,19281.5,9,9,298,224,350,59.20011399899674,-85.98951532948325,999.8537885225314,1003.8537885225314,83750,163.27416503504918,4.0,11.831539170705629,11.217175457557532,1,1,0,0,0,0,0,1.3637856318548438,6.971973339393502,-17.78195502667091,19.099904104883894,11.000016237188566
1952,10,16,15,19281.625,10,10,298,223,347,58.911712024413006,-84.76772712186818,1000.85158326272,1004.85158326272,180000,239.3653682408596,4.0,11.390653256108788,9.431180727709652,1,1,0,0,0,0,0,0.9977947401886922,23.383244063135358,-10.689612135994532,25.71077421109984,8.072332433321115
1952,10,16,18,19281.75,9,9,298,222,344,58.60882880031945,-83.56835457355601,1000.9343010356961,1002.9343010356961,33125,102.68405416537693,2.0,10.824446632343173,9.762952631301669,1,1,0,0,0,0,0,0.08271777297602967,23.15517901364806,-11.226359294983498,25.733119868646902,0.6713503781992151
1952,10,16,21,19281.875,8,8,298,222,341,58.52300849331033,-82.3371311581613,1001.6501440341983,1003.6501440341983,83750,163.27416503504918,2.0,10.608130617125362,9.339861081394046,1,1,0,0,0,0,0,0.7158429985021939,23.828400045647147,-3.1809275808311437,24.039778472562706,5.815215166579824
1952,10,17,0,19282.0,8,8,298,222,341,58.52300849331033,-82.3371311581613,,,0,0.0,,10.608130617125362,,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,
