"","YEAR","strat.biomass"
"1",1963,159.910554599455
"2",1964,332.474874184444
"3",1965,174.915051605544
"4",1966,183.066869479805
"5",1967,173.667449708264
"6",1968,109.808356084484
"7",1969,372.199469277477
"8",1970,67.3506328445036
"9",1971,39.5427369199041
"10",1972,90.6192922949467
"11",1973,30.2527147489726
"12",1974,25.324412237476
"13",1975,85.3174144158038
"14",1976,23.766389947027
"15",1977,67.1712007080372
"16",1978,31.5098563864106
"17",1979,91.0660752639632
"18",1980,41.188151781735
"19",1981,158.218448610453
"20",1982,30.9315501488943
"21",1983,39.9931057004473
"22",1984,93.4252303651584
"23",1985,70.9236258108535
"24",1986,11.2721696627313
"25",1987,26.715588233459
"26",1988,65.3955420404425
"27",1989,15.0482452765717
"28",1990,15.5585365268998
"29",1991,21.0476486570495
"30",1992,16.9673275305404
"31",1993,8.99180458558893
"32",1994,9.37523228375599
"33",1995,21.496064699667
"34",1996,33.4816638690301
"35",1997,28.029526719814
"36",1998,109.706535185875
"37",1999,39.3767827893376
"38",2000,21.7145320206481
"39",2001,43.905939282761
"40",2002,55.9815590471805
"41",2003,109.399739737837
"42",2004,117.896996848355
"43",2005,46.1120037929721
"44",2006,100.295752787377
"45",2007,31.6750976359643
"46",2008,24.1115841970162
"47",2009,62.3110022250837
"48",2010,69.7407974623625
"49",2011,35.8992189641232
"50",2012,112.182797630388
"51",2013,26.344139319538
"52",2014,28.6815997042769
"53",2015,133.315530666247
"54",2016,31.2113259463744
"55",2018,26.4140993778106
"56",2019,23.5762618790246
"57",2021,10.5622413831172
"58",2022,46.0848805656202
