"","YEAR","wt_mean_temp"
"1",1968,7.39038117296463
"2",1969,7.68679199803913
"3",1970,7.84160948103264
"4",1971,7.67508439381887
"5",1972,7.80780868912629
"6",1973,8.26554216761905
"7",1974,8.31578066696924
"8",1975,7.74524535384725
"9",1976,8.07328698553737
"10",1977,7.58154167471929
"11",1978,7.74885434999808
"12",1979,7.92444059852822
"13",1980,7.94315325020645
"14",1981,7.99607683081024
"15",1982,8.52496345039994
"16",1983,8.6809263367251
"17",1984,7.50457841557287
"18",1985,7.58991851692377
"19",1986,8.47607296936178
"20",1987,7.92702560869888
"21",1988,7.83593025023028
"22",1989,7.45372971511231
"23",1990,7.93176285790902
"24",1991,7.94833144376616
"25",1992,7.77098078154197
"26",1993,7.40602567932112
"27",1994,7.86764168754088
"28",1995,7.84399712153004
"29",1996,7.77570287226035
"30",1997,8.64496201855301
"31",1998,7.5366988659048
"32",1999,7.74088434118868
"33",2000,7.73272482314058
"34",2001,8.31779948991863
"35",2002,10.8368270392272
"36",2003,7.95602533712496
"37",2004,7.85822103629204
"38",2005,8.18932140646489
"39",2006,8.92768851138819
"40",2007,8.74166890334579
"41",2008,8.55574372357126
"42",2009,8.28708880055161
"43",2010,8.5830813106149
"44",2011,8.11191610883254
"45",2012,9.50770137422169
"46",2013,8.70415352367165
"47",2014,11.0173519309798
"48",2015,9.38633813552179
"49",2016,13.1308807060263
"50",2017,10.153246142359
"51",2018,9.13841692027356
"52",2019,9.73670808576737
"53",2020,8.44102168619877
"54",2021,9.09280498418228
"55",2022,11.6411010972544
