year,month,day,hour,Dp,DpDt,DsqP,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,lon,p_cent,p_edge,p_grad,pid,ptid,radius,time,type,u,uv,v,x,y
1971,12,19,21,-0.6987299097738287,-5.599971039910844,4.367861649381448,2,0,0,0,2,505000,1,10.0,3,59.82093558141123,41.65140518554311,984.4426909639845,994.4426909639845,25.624059663095277,3,482,400.93202980407324,26284.875,1,42.27530216494069,50.16739851304844,-27.010492413689455,448,260
1971,12,20,0,0.19314959913856,1.5551048736576925,4.431531923455259,0,0,0,0,0,713750,1,12.0,6,59.373632298207646,43.800263761878625,984.6358405631231,996.6358405631231,25.73022384515364,6,482,476.64838325927485,26285.0,1,40.57360487006791,43.83024197634102,-16.579285254564148,453,262
1971,12,20,3,-0.32284919124518635,-2.6080812012717467,5.7057263097524995,0,0,0,0,0,901875,1,14.0,5,59.05134649925168,45.0,984.3129913718778,998.3129913718778,26.019232768955582,5,482,535.7944835494354,26285.125,1,22.868337859795414,25.800314169498318,-11.945515257830586,456,263
1971,12,20,6,0.2312300267905812,1.8682519330538514,5.188277944393121,0,0,0,0,0,4640000,1,26.0,7,59.03599326405203,46.78064244599869,984.5442213986685,1010.5442213986685,26.099954550999307,7,482,1215.3015559492997,26285.25,1,33.95568883643703,33.960457033649654,-0.5690672872604962,459,266
1971,12,20,9,0.22593961835766094,1.826029238853609,5.641763585613298,0,0,0,0,0,5200625,1,28.0,4,59.00871541949552,47.96604088998712,984.7701610170261,1012.7701610170261,25.58417342739195,4,482,1286.6275109115988,26285.375,1,22.62308100668665,22.645662314866804,-1.0110526414941818,461,268
1971,12,20,12,0.4914129922178108,3.972348366756741,7.831877732570647,0,0,0,0,0,5162500,1,28.0,2,58.98997434734385,48.557851866118085,985.2615740092439,1013.2615740092439,24.98042984680944,2,482,1281.9027995225767,26285.5,1,11.300849733576936,11.322178491440397,-0.6946373810483234,462,269
1971,12,20,15,1.2301975354438763,9.946641046409827,8.360887378728439,0,0,0,0,0,4446250,1,26.0,4,58.967838853126246,49.14890369773435,986.4917715446878,1012.4917715446878,23.94963985494993,4,482,1189.6576530433783,26285.625,1,11.293606804216624,11.323369436581157,-0.8204515519226074,463,270
1971,12,20,18,1.5734666902653407,12.745802943489593,8.468579327910701,0,0,0,0,0,4803750,1,26.0,4,58.79126009713451,49.42128942143061,988.0652382349531,1014.0652382349531,22.707202535573593,4,482,1236.5601949583306,26285.75,1,5.2312988742145885,8.378665605558439,-6.544887273162857,464,270
1971,12,20,21,0.8137061932549113,6.593283042025101,6.233946673614409,0,0,0,0,0,4334375,1,24.0,4,58.764173268850364,50.007971892040274,988.878944428208,1012.878944428208,21.31107484234971,4,482,1174.5954252115355,26285.875,1,11.27628211952931,11.320887751278594,-1.0039726280299097,465,271
1971,12,21,0,1.4910739056202873,12.21511223342876,4.462510451890412,0,0,0,0,0,4960000,1,24.0,5,57.74826651747422,50.42681249857282,990.3700183338283,1014.3700183338283,20.054157139963902,5,482,1256.5098628628436,26286.0,1,8.284384846535547,38.55511429322077,-37.654558898994004,469,269
1971,12,21,3,0.2978711170934548,2.3949245210691386,2.3367246553487346,0,0,0,0,0,4263125,1,22.0,6,59.50824202650382,53.76906225314761,990.6678894509218,1012.6678894509218,19.50920249125517,6,482,1164.9012119219692,26286.125,1,62.85208509059907,90.58580184419074,65.23344920758893,468,280
1971,12,21,6,0.5845855950370605,4.68889902775475,2.253619356522031,0,0,0,0,0,3650000,1,20.0,5,59.74248996553945,52.915512423026584,991.2524750459588,1011.2524750459588,18.906476648092184,5,482,1077.882685903636,26286.25,1,-15.94127038540197,18.152357129963963,8.68239413256849,466,279
1971,12,21,9,0.2777165186710772,2.2275347279224254,3.4773276702769365,0,0,0,0,0,3199375,1,18.0,7,59.74248996553945,52.915512423026584,991.53019156463,1009.53019156463,18.473273708825648,7,482,1009.1544441309592,26286.375,1,0.0,0.0,0.0,466,279
1971,12,21,12,1.1502848980316775,9.195990995331357,5.923488263593317,0,0,0,0,0,2831875,1,16.0,6,60.067929207225156,52.99998347221897,992.6804764626617,1008.6804764626617,17.406092789938203,6,482,949.4281483802354,26286.5,1,1.562242812514698,12.163142558965282,12.062397535500919,465,280
1971,12,21,15,1.0308322346559726,8.225762455709102,7.216636669907675,0,0,0,0,0,1270000,1,10.0,6,60.25306029579853,52.73737277320628,993.7113086973176,1003.7113086973176,16.33089048862053,6,482,635.8093703724522,26286.625,1,-4.8295477381041,8.391061821181536,6.861879271181035,464,280
1971,12,21,18,0.7242902186422725,5.761048283862599,5.806012412503114,0,0,0,0,0,1056875,1,8.0,6,60.57822859709524,52.821352104374945,994.4355989159599,1002.4355989159599,14.29029417189914,6,482,580.0118627756624,26286.75,1,1.5290623465705626,12.148962754022248,12.052355136607948,463,281
1971,12,21,21,1.6675638429257378,13.263903844411166,4.546403710557788,0,0,0,0,0,541875,1,4.0,6,60.57822859709524,52.821352104374945,996.1031627588856,1000.1031627588856,12.286636086448807,6,482,415.31213511748194,26286.875,1,0.0,0.0,0.0,463,281
1971,12,22,0,0.8280161642261373,6.48006506358195,4.743600114085566,0,0,0,0,0,267500,1,2.0,7,62.28585083245166,51.960963026248564,996.9311789231117,998.9311789231117,8.983416397684698,7,482,291.80112157797475,26287.0,1,-14.830815431434191,65.00733764590576,63.29297639902495,456,284
1971,12,22,3,0.0,,,0,3,0,0,0,0,0,,7,62.28585083245166,51.960963026248564,,,8.983416397684698,7,482,0.0,26287.125,0,0.0,0.0,0.0,456,284
