year,month,day,hour,Dp,DpDt,DsqP,Ege,Ely,Emg,Erg,Esp,area,centers,depth,id,lat,lon,p_cent,p_edge,p_grad,pid,ptid,radius,time,type,u,uv,v,x,y
2023,6,20,15,,,8.913281,3,0,0,0,0,330625,1,4.0,1,51.46657586758138,-36.564232486648514,1006.03674,1010.03671875,7.573492036612756,1,478,324.40901053995987,45095.625,1,,,,259,224
2023,6,20,18,-1.1866406,-10.469009153818652,10.719063,0,0,0,0,0,235625,1,4.0,1,51.74820789723185,-36.014800249577306,1004.8501,1008.850078125,8.206836394206627,1,478,273.864504695398,45095.75,1,12.60812828910516,16.368598862294423,10.43868429258077,261,224
2023,6,20,21,-1.1023438,-9.732533321729987,8.738594,0,0,0,0,0,205000,1,4.0,1,51.694295053576646,-35.53767779197438,1003.74774,1007.747734375,9.178000140261926,1,478,255.44769849751455,45095.875,1,10.961864575986855,11.142512771992463,-1.9982782318135017,262,223
2023,6,21,0,-1.0233594,-9.059447388487651,6.904766,0,0,0,0,0,488750,1,6.0,1,51.50045011584644,-35.34010692155767,1002.72437,1008.724375,10.097231843953962,1,478,394.4286461102029,45096.0,1,4.558603054189297,8.508997856382745,-7.18485787710948,262,222
2023,6,21,3,-1.3942969,-12.22937251281437,8.367305,0,0,0,0,0,493125,1,6.0,1,52.17609677017862,-33.929797422060645,1001.3301,1007.330078125,10.541350433785688,1,478,396.1900587147307,45096.125,1,32.055267643790884,40.677799276078964,25.042826722035663,267,222
2023,6,21,6,-1.3508594,-11.838038303713622,6.3215623,0,0,0,0,0,1035000,1,8.0,2,52.2406314179367,-33.1617894749722,999.97925,1007.97921875,11.241332262753241,2,478,573.9779892994359,45096.25,1,17.431095484029598,17.594448978280198,2.3919751411643246,269,221
2023,6,21,9,-0.3071094,-2.703366768636169,4.617656,0,0,0,0,0,955000,1,8.0,1,51.911754772269106,-33.26142879327768,999.6721,1007.672109375,11.739144103091185,1,478,551.3492008750172,45096.375,1,-2.2781965497106897,12.400867764537583,-12.189804830038653,268,220
2023,6,21,12,-0.07007813,-0.623125778988769,4.2159376,0,0,0,0,0,1096875,1,8.0,1,51.18384883241414,-32.98852161363456,999.60205,1007.60203125,11.730383129219023,1,478,590.8859081141176,45096.5,1,6.340502565541606,27.7148414524903,-26.979815862103933,267,217
2023,6,21,15,-0.5523437,-4.916307346730342,4.214102,0,0,0,0,0,1080625,1,8.0,1,51.11238490223712,-32.522833357994294,999.0497,1007.0496875,11.82250918824866,1,478,586.4926433957708,45096.625,1,10.836174925314358,11.15521739820573,-2.6488088245889316,268,216
2023,6,21,18,-0.4709375,-4.18867103252265,3.213828,0,0,0,0,0,1184375,1,8.0,1,51.164220376008,-31.773128436034657,998.57874,1006.57875,11.771588090185945,1,478,614.0018497113238,45096.75,1,17.42538280642018,17.530980719020476,1.921280567846242,270,215
2023,6,21,21,-0.22132812,-1.9617256300305952,2.7770312,0,0,0,0,0,686250,1,6.0,1,51.41299247027501,-31.196428469376727,998.3574,1004.357421875,11.36407042365241,1,478,467.3758224316127,45096.875,1,13.33183447394575,16.209864327482634,9.220731591078097,272,215
2023,6,22,0,-0.12820312,-1.092878196302695,3.1782422,0,0,0,0,0,738125,1,6.0,1,54.36374055093811,-29.267995214892697,998.22925,1004.22921875,10.46706923447439,1,478,484.7189750148126,45097.0,1,41.64406963870112,117.02946375357075,109.3694054586352,283,223
2023,6,22,3,-1.2400781,-10.473169325008758,5.1860547,0,0,0,0,0,391875,1,4.0,1,55.11839917500475,-28.655210330788673,996.98914,1000.989140625,10.856632647149414,1,478,353.1822286699502,45097.125,1,12.989042994925663,30.840146705053805,27.971403448257895,286,225
2023,6,22,6,-1.6509376,-13.889392030285096,5.2758594,0,0,0,0,0,356875,1,4.0,1,55.437552502520404,-28.505108994937764,995.3382,999.338203125,11.866420850382763,1,478,337.04130404423773,45097.25,1,3.156197229711261,12.243223780401971,11.829410280490034,287,226
2023,6,22,9,-0.18765625,-1.5748599860889236,5.724492,0,0,0,0,0,369375,1,4.0,2,55.64396866578301,-28.68614757373944,995.1506,999.150546875,11.967887412629542,2,478,342.8931527591907,45097.375,1,-3.7867851993571047,8.53666424762322,7.650810044078893,287,227
2023,6,22,12,-1.4853907,-12.13865072666853,5.0375,0,0,0,0,0,318125,1,4.0,3,57.972651787439915,-26.292648572565298,993.66516,997.66515625,13.619208545958367,3,478,318.2174296644016,45097.5,1,47.04522437708951,98.30114503175483,86.31258296368728,297,233
2023,6,22,15,-0.93921876,-7.590162180097846,5.5867186,0,0,0,0,0,133125,1,2.0,2,59.01553286748863,-26.283732098066444,992.72595,994.7259375,14.127828199150224,2,478,205.8518972422094,45097.625,1,0.17013756695309154,38.654736160975254,38.654361731671614,299,237
2023,6,22,18,-0.9715625,-7.751985751557113,7.481641,0,0,2,0,0,1160625,2,6.0,6,60.263670612151664,-26.467443469947337,991.7544,997.754375,14.31894859763706,6,478,607.8144549548506,45097.75,1,-3.377454229256948,46.38531968261646,46.26219498670378,301,242
2023,6,22,21,-1.4623437,-11.550769582538754,8.083047,0,0,0,0,0,1391250,2,8.0,5,61.296916515969905,-27.47443162627713,990.29205,998.29203125,14.400398599503832,5,478,665.4687289070755,45097.875,1,-17.925442054859147,42.28474449715818,38.29723416028677,301,247
2023,6,23,0,-1.3675,-10.718936444577485,11.198828,0,0,0,0,0,1511250,2,10.0,5,62.114742981213055,-28.332236960373024,988.92456,998.92453125,15.130101319836536,5,478,693.5746646866894,45098.0,1,-14.870271037916728,33.763676184073475,30.312717936896803,301,251
2023,6,23,3,-1.4710156,-11.457518431439773,11.960586,0,0,0,0,0,1796250,2,12.0,7,62.810840551484915,-29.656233952236136,987.4535,999.453515625,15.090488344473009,7,478,756.1508665984811,45098.125,1,-22.42293200611535,34.18290793062316,25.800839421278283,300,255
2023,6,23,6,-1.1170312,-8.64831363992008,13.342227,0,0,0,0,0,2182500,2,14.0,5,63.49029810239604,-31.047522231915064,986.3365,1000.336484375,15.11745954540305,5,478,833.4934472424623,45098.25,1,-23.016919723035485,34.117683883788516,25.18407751055143,299,259
2023,6,23,9,-0.36898437,-2.853054464196928,13.401991,0,0,0,0,0,2596250,2,16.0,4,63.6399682329324,-32.39585271623817,985.9675,1001.9675,15.619967897817165,4,478,909.0720774529743,45098.375,1,-22.18937219108366,22.872324179538673,5.547519728624012,297,261
2023,6,23,12,-0.83835936,-6.485559413489677,12.297773,0,0,0,0,0,1912500,2,14.0,4,63.58276490802679,-33.48616881551299,985.12915,999.129140625,16.340706576912602,4,478,780.2356421790148,45098.5,1,-17.9795070487354,18.104090440836593,-2.1202398389014667,295,262
2023,6,23,15,0.21382813,1.6570367625176494,12.495898,0,0,0,0,0,1511875,2,12.0,5,63.38442563096132,-34.97209123257519,985.34296,997.34296875,16.578511302629845,5,478,693.7180689401989,45098.625,1,-24.673468048752053,25.74536273412055,-7.351440454676548,292,263
2023,6,23,18,0.34054688,2.6440527222755486,11.782734,0,0,0,0,0,1221250,2,10.0,5,63.168008792595664,-36.435481357424415,985.68353,995.683515625,16.318401332899462,5,478,623.4869272903437,45098.75,1,-24.48233042594766,25.7629330985175,-8.021484822238707,289,264
2023,6,23,21,0.5141406,4.006700620137046,10.961289,0,0,0,0,0,1201875,0,9.657734375,6,62.75141190134792,-37.583086280861615,986.19763,995.855390625,16.322218634046497,3,478,618.5213775263903,45098.875,2,-19.474912077208543,24.853599830391765,-15.441153587548,286,264
2023,6,24,0,1.8121094,14.200249548835323,8.581407,0,0,0,0,0,1230000,0,8.258828125,4,62.14288138770521,-38.40548496777202,988.00977,996.26859375,15.12037537427467,2,478,625.7165172872317,45099.0,2,-14.243262831719878,26.675947350581072,-22.555168608492387,283,263
2023,6,24,3,0.24742188,2.0201858852949948,3.8246875,0,0,0,2,0,3896250,1,18.0,2,58.052180000021906,-33.40782458970893,986.516,1004.516015625,18.357992181624464,2,503,1113.6493586598945,45099.125,1,2.161018717866324,19.31793283869373,-19.19668011040745,282,242
2023,6,24,6,0.6363281,5.217909706498313,3.4638672,0,0,0,0,0,2776875,1,16.0,2,57.66119578437942,-32.964843226920536,987.15234,1003.15234375,18.053726246318757,2,503,940.1631588169223,45099.25,1,8.782962819635598,16.94559807678761,-14.491820392515452,282,240
2023,6,24,9,0.81226563,6.641936186522781,3.553164,0,0,0,0,0,2256250,1,14.0,1,57.91642511028713,-29.92086602503887,987.9646,1001.964609375,17.80025884247033,1,503,847.4589551725662,45099.375,1,59.92255185721421,60.66469419145184,9.460068723949314,289,237
2023,6,24,12,0.44101563,3.59716662695099,3.6083984,0,0,0,0,0,3043125,1,16.0,1,58.14684854717772,-29.213207927910734,988.40564,1004.405625,17.79749559108149,1,503,984.2036234403164,45099.5,1,13.842307740684369,16.26505453541009,8.54063905407868,291,237
2023,6,24,15,0.40734375,3.311175068677285,3.9464452,0,0,0,0,0,2426250,1,14.0,1,58.46423261062965,-29.054604099077146,988.813,1002.81296875,17.599327706435663,1,503,878.8056448119926,45099.625,1,3.0747123437470547,12.159013623241181,11.763832551229813,292,238
